"parent_period","s1_period","zone","link_count","changed_period","parent_period_links","share_of_parent_period"
"baseline","baseline","near",13919,FALSE,84105,0.165495511562927
"baseline","baseline","reference",67026,FALSE,84105,0.79693240592117
"baseline","early_pre","near",633,TRUE,84105,0.0075263064027109
"baseline","early_pre","reference",2515,TRUE,84105,0.0299030973188277
"baseline","early_egg","near",1,TRUE,84105,1.1889899530349e-05
"baseline","early_egg","reference",1,TRUE,84105,1.1889899530349e-05
"baseline","late_egg","near",6,TRUE,84105,7.13393971820938e-05
"baseline","late_egg","reference",4,TRUE,84105,4.75595981213959e-05
"early_pre","early_pre","near",6617,FALSE,43099,0.153530244321214
"early_pre","early_pre","reference",33320,FALSE,43099,0.773103784310541
"early_pre","immediate_pre","near",696,TRUE,43099,0.0161488665630293
"early_pre","immediate_pre","reference",2463,TRUE,43099,0.0571474976217546
"early_pre","late_egg","near",2,TRUE,43099,4.64047889742221e-05
"early_pre","late_egg","reference",1,TRUE,43099,2.32023944871111e-05
"immediate_pre","immediate_pre","near",6522,FALSE,43247,0.150808148542095
"immediate_pre","immediate_pre","reference",32905,FALSE,43247,0.760862025111568
"immediate_pre","spawn_start","near",736,TRUE,43247,0.0170185215159433
"immediate_pre","spawn_start","reference",2669,TRUE,43247,0.0617152634864846
"immediate_pre","early_egg","near",105,TRUE,43247,0.00242791407496474
"immediate_pre","early_egg","reference",306,TRUE,43247,0.00707563530418295
"immediate_pre","outside_analysis_window","near",4,TRUE,43247,9.24919647605614e-05
"spawn_start","spawn_start","near",4195,FALSE,26356,0.159166793140082
"spawn_start","spawn_start","reference",18765,FALSE,26356,0.711982091364395
"spawn_start","early_egg","near",727,TRUE,26356,0.027583851874336
"spawn_start","early_egg","reference",2667,TRUE,26356,0.101191379572014
"spawn_start","outside_analysis_window","reference",2,TRUE,26356,7.58840491728639e-05
"early_egg","early_egg","near",11654,FALSE,71744,0.162438670829616
"early_egg","early_egg","reference",56314,FALSE,71744,0.784929750223015
"early_egg","late_egg","near",778,TRUE,71744,0.0108441123996432
"early_egg","late_egg","reference",2986,TRUE,71744,0.0416202051739518
"early_egg","outside_analysis_window","near",9,TRUE,71744,0.000125446030330062
"early_egg","outside_analysis_window","reference",3,TRUE,71744,4.18153434433541e-05
"late_egg","late_egg","near",14991,FALSE,92712,0.161694279057727
"late_egg","late_egg","reference",74177,FALSE,92712,0.800079817067909
"late_egg","outside_analysis_window","near",757,TRUE,92712,0.00816507032530848
"late_egg","outside_analysis_window","reference",2787,TRUE,92712,0.0300608335490551
"outside_analysis_window","baseline","near",708,TRUE,659857,0.0010729597473392
"outside_analysis_window","baseline","reference",2451,TRUE,659857,0.00371444115922086
"outside_analysis_window","early_pre","reference",3,TRUE,659857,4.54643960736948e-06
"outside_analysis_window","immediate_pre","near",12,TRUE,659857,1.81857584294779e-05
"outside_analysis_window","immediate_pre","reference",8,TRUE,659857,1.21238389529853e-05
"outside_analysis_window","spawn_start","near",3,TRUE,659857,4.54643960736948e-06
"outside_analysis_window","early_egg","near",3,TRUE,659857,4.54643960736948e-06
"outside_analysis_window","outside_analysis_window","near",113492,FALSE,659857,0.171994841306526
"outside_analysis_window","outside_analysis_window","reference",543177,FALSE,659857,0.82317380887071
