"analysis_taxon_id","unit_label","estimate_reporting","estimate_count","positive_reporting","positive_count","contrast"
"atx_c9db024faf12","American Crow",0.0242508708268168,0.00802244685238313,TRUE,TRUE,"active_minus_pre_14_day"
"atx_7571c026ae99","American Herring Gull",0.329755158385544,0.032963476589574,TRUE,TRUE,"active_minus_pre_14_day"
"atx_a113baee5693","American Wigeon",0.100389607532219,0.0549120928796149,TRUE,TRUE,"active_minus_pre_14_day"
"atx_fc0a9b777dcd","Bald Eagle",0.0402408996144801,0.0607002860704576,TRUE,TRUE,"active_minus_pre_14_day"
"atx_d7dd9536145c","Barrow's Goldeneye",0.0512408005832166,0.0949054344675965,TRUE,TRUE,"active_minus_pre_14_day"
"atx_v2_000006","Black-bellied Plover",-0.0589774054540417,-0.0376714992851178,FALSE,FALSE,"active_minus_pre_14_day"
"atx_v2_000002","Black Oystercatcher",-0.0394852632521395,-0.00730913120794589,FALSE,FALSE,"active_minus_pre_14_day"
"atx_1328b44be502","Black Scoter",0.126173044820064,0.011957946660692,TRUE,TRUE,"active_minus_pre_14_day"
"atx_15dd5efcd8d6","Black Turnstone",-0.0451551050743009,0.112202075773113,FALSE,TRUE,"active_minus_pre_14_day"
"atx_fadb8da1a816","Bonaparte's Gull",0.392652921667967,0.150675829334766,TRUE,TRUE,"active_minus_pre_14_day"
"atx_98ca0000b734","Brandt's Cormorant",-0.00920227921807246,0.0256883172970815,FALSE,TRUE,"active_minus_pre_14_day"
"atx_59441ff7abde","Brant",0.150813278982125,0.0670284359372297,TRUE,TRUE,"active_minus_pre_14_day"
"atx_99238953638b","Bufflehead",-0.0591206642440827,0.113742308963455,FALSE,TRUE,"active_minus_pre_14_day"
"atx_c12b832d2b03","California Gull",0.274129802400878,0.137627265597263,TRUE,TRUE,"active_minus_pre_14_day"
"atx_b3d3ea90f9cb","Canada Goose",-0.00862794337566294,0.0422334307948407,FALSE,TRUE,"active_minus_pre_14_day"
"atx_82312e6f2848","Common Goldeneye",-0.00411861651548305,0.178954138900045,FALSE,TRUE,"active_minus_pre_14_day"
"atx_9ae1aa9b7fdf","Common Loon",-0.0603874237014062,0.0440614318722526,FALSE,TRUE,"active_minus_pre_14_day"
"atx_35518e24dfdd","Common Merganser",0.151276771980792,0.105187479526222,TRUE,TRUE,"active_minus_pre_14_day"
