"feature_set","scheme","algorithm","k","selection_role","analysis_taxon_id","common_name","cluster"
"A","unweighted","Ward.D2",2,"selected","atx_c9db024faf12","American Crow",1
"A","unweighted","Ward.D2",2,"selected","atx_725074cbfcb6","Glaucous-winged Gull",1
"A","unweighted","Ward.D2",2,"selected","atx_815c98107028","Mallard",1
"A","unweighted","Ward.D2",2,"selected","atx_fc0a9b777dcd","Bald Eagle",1
"A","unweighted","Ward.D2",2,"selected","atx_b3d3ea90f9cb","Canada Goose",1
"A","unweighted","Ward.D2",2,"selected","atx_v2_000007","Common Raven",1
"A","unweighted","Ward.D2",2,"selected","atx_99238953638b","Bufflehead",1
"A","unweighted","Ward.D2",2,"selected","atx_7b80ddaff058","Great Blue Heron",1
"A","unweighted","Ward.D2",2,"selected","atx_a113baee5693","American Wigeon",1
"A","unweighted","Ward.D2",2,"selected","atx_a444854c6b66","Double-crested Cormorant",1
"A","unweighted","Ward.D2",2,"selected","atx_35518e24dfdd","Common Merganser",1
"A","unweighted","Ward.D2",2,"selected","atx_e0e678a61ad7","Short-billed Gull",2
"A","unweighted","Ward.D2",2,"selected","atx_82312e6f2848","Common Goldeneye",2
"A","unweighted","Ward.D2",2,"selected","atx_04afbeb21fb0","Hooded Merganser",1
"A","unweighted","Ward.D2",2,"selected","atx_35707a9578d5","Pelagic Cormorant",1
"A","unweighted","Ward.D2",2,"selected","atx_1930f23cc4f8","Surf Scoter",2
"A","unweighted","Ward.D2",2,"selected","atx_9ae1aa9b7fdf","Common Loon",1
"A","unweighted","Ward.D2",2,"selected","atx_7d980a7c8c37","Northern Pintail",1
"A","unweighted","Ward.D2",2,"selected","atx_v2_000002","Black Oystercatcher",1
"A","unweighted","Ward.D2",2,"selected","atx_c2d1fbbaf6d3","Red-breasted Merganser",1
"A","unweighted","Ward.D2",2,"selected","atx_6b4cfd1ab927","Horned Grebe",1
"A","unweighted","Ward.D2",2,"selected","atx_87b306550dba","Harlequin Duck",2
"A","unweighted","Ward.D2",2,"selected","atx_d7dd9536145c","Barrow's Goldeneye",1
"A","unweighted","Ward.D2",2,"selected","atx_d002764a39e8","Lesser Scaup",2
"A","unweighted","Ward.D2",2,"selected","atx_86eda7ed9025","Red-necked Grebe",1
"A","unweighted","Ward.D2",2,"selected","atx_c12b832d2b03","California Gull",1
"A","unweighted","Ward.D2",2,"selected","atx_8608f2ed61cf","Pigeon Guillemot",1
"A","unweighted","Ward.D2",2,"selected","atx_c34f23342a55","Pacific Loon",1
"A","unweighted","Ward.D2",2,"selected","atx_v2_000003","Dunlin",1
"A","unweighted","Ward.D2",2,"selected","atx_3083477933a8","White-winged Scoter",2
"A","unweighted","Ward.D2",2,"selected","atx_aa5353f6d6d2","Iceland Gull",1
"A","unweighted","Ward.D2",2,"selected","atx_08bb40b40c0a","Ring-billed Gull",1
"A","unweighted","Ward.D2",2,"selected","atx_4ae57d328ec6","Greater Scaup",2
"A","unweighted","Ward.D2",2,"selected","atx_15dd5efcd8d6","Black Turnstone",1
"A","unweighted","Ward.D2",2,"selected","atx_fadb8da1a816","Bonaparte's Gull",2
"A","unweighted","Ward.D2",2,"selected","atx_v2_000006","Black-bellied Plover",1
"A","unweighted","Ward.D2",2,"selected","atx_59441ff7abde","Brant",1
"A","unweighted","Ward.D2",2,"selected","atx_acf526bb8010","Marbled Murrelet",1
"A","unweighted","Ward.D2",2,"selected","atx_40f730f5ad72","Long-tailed Duck",2
"A","unweighted","Ward.D2",2,"selected","atx_98ca0000b734","Brandt's Cormorant",1
"A","unweighted","Ward.D2",2,"selected","atx_136b0e66254b","Common Murre",1
"A","unweighted","Ward.D2",2,"selected","atx_7571c026ae99","American Herring Gull",1
"A","unweighted","Ward.D2",2,"selected","atx_1328b44be502","Black Scoter",2
"A","unweighted","Ward.D2",2,"selected","atx_04cf65098f13","Red-throated Loon",1
