"feature_set","scheme","selected_k","cluster","guild","Freq"
"A","unweighted",2,"1","alcid_piscivore",3
"A","unweighted",2,"1","gull_roe",5
"A","unweighted",2,"2","gull_roe",3
"A","unweighted",2,"1","intertidal_roe_shorebird",4
"A","unweighted",2,"1","piscivore_active_spawn",12
"A","unweighted",2,"1","roe_diving_seaduck",2
"A","unweighted",2,"2","roe_diving_seaduck",8
"A","unweighted",2,"1","shoreline_scavenger",4
"A","unweighted",2,"1","surface_vegetation_roe",5
"A","inverse_variance",3,"1","alcid_piscivore",3
"A","inverse_variance",3,"1","gull_roe",2
"A","inverse_variance",3,"2","gull_roe",6
"A","inverse_variance",3,"1","intertidal_roe_shorebird",4
"A","inverse_variance",3,"1","piscivore_active_spawn",11
"A","inverse_variance",3,"2","piscivore_active_spawn",1
"A","inverse_variance",3,"2","roe_diving_seaduck",10
"A","inverse_variance",3,"1","shoreline_scavenger",2
"A","inverse_variance",3,"2","shoreline_scavenger",1
"A","inverse_variance",3,"3","shoreline_scavenger",1
"A","inverse_variance",3,"1","surface_vegetation_roe",2
"A","inverse_variance",3,"2","surface_vegetation_roe",3
"A","reliability_shrunk",2,"1","alcid_piscivore",3
"A","reliability_shrunk",2,"1","gull_roe",2
"A","reliability_shrunk",2,"2","gull_roe",6
"A","reliability_shrunk",2,"1","intertidal_roe_shorebird",4
"A","reliability_shrunk",2,"1","piscivore_active_spawn",11
"A","reliability_shrunk",2,"2","piscivore_active_spawn",1
"A","reliability_shrunk",2,"1","roe_diving_seaduck",3
"A","reliability_shrunk",2,"2","roe_diving_seaduck",7
"A","reliability_shrunk",2,"1","shoreline_scavenger",4
"A","reliability_shrunk",2,"1","surface_vegetation_roe",2
"A","reliability_shrunk",2,"2","surface_vegetation_roe",3
"B","unweighted",2,"1","alcid_piscivore",3
"B","unweighted",2,"1","gull_roe",3
"B","unweighted",2,"2","gull_roe",5
"B","unweighted",2,"1","intertidal_roe_shorebird",4
"B","unweighted",2,"1","piscivore_active_spawn",12
"B","unweighted",2,"1","roe_diving_seaduck",6
"B","unweighted",2,"2","roe_diving_seaduck",4
"B","unweighted",2,"1","shoreline_scavenger",4
"B","unweighted",2,"1","surface_vegetation_roe",5
"B","inverse_variance",2,"1","alcid_piscivore",3
"B","inverse_variance",2,"1","gull_roe",2
"B","inverse_variance",2,"2","gull_roe",6
"B","inverse_variance",2,"1","intertidal_roe_shorebird",4
"B","inverse_variance",2,"1","piscivore_active_spawn",10
"B","inverse_variance",2,"2","piscivore_active_spawn",2
"B","inverse_variance",2,"1","roe_diving_seaduck",5
"B","inverse_variance",2,"2","roe_diving_seaduck",5
"B","inverse_variance",2,"1","shoreline_scavenger",3
"B","inverse_variance",2,"2","shoreline_scavenger",1
"B","inverse_variance",2,"1","surface_vegetation_roe",2
"B","inverse_variance",2,"2","surface_vegetation_roe",3
"B","reliability_shrunk",2,"1","alcid_piscivore",2
"B","reliability_shrunk",2,"2","alcid_piscivore",1
"B","reliability_shrunk",2,"1","gull_roe",1
"B","reliability_shrunk",2,"2","gull_roe",7
"B","reliability_shrunk",2,"1","intertidal_roe_shorebird",3
"B","reliability_shrunk",2,"2","intertidal_roe_shorebird",1
"B","reliability_shrunk",2,"1","piscivore_active_spawn",3
"B","reliability_shrunk",2,"2","piscivore_active_spawn",9
"B","reliability_shrunk",2,"2","roe_diving_seaduck",10
"B","reliability_shrunk",2,"1","shoreline_scavenger",2
"B","reliability_shrunk",2,"2","shoreline_scavenger",2
"B","reliability_shrunk",2,"2","surface_vegetation_roe",5
