"feature_set","scheme","selected_k","cluster","stable_at_0_6","feature","member_count","mean_raw_link_estimate","median_raw_link_estimate","standard_deviation_raw_link_estimate"
"A","unweighted",2,1,TRUE,"reporting_active_minus_pre",35,0.0240967040769348,-0.00129015980844558,0.117666354346273
"A","unweighted",2,1,TRUE,"count_active_minus_pre",35,0.0531142797594164,0.0440614318722526,0.0619303787241064
"A","unweighted",2,1,TRUE,"reporting_spawn_minus_early_egg",35,0.0095938388129578,-0.00335473307898111,0.076115569230822
"A","unweighted",2,1,TRUE,"count_spawn_minus_early_egg",35,-0.0171860088498312,-0.0271549395539484,0.0867986788048699
"A","unweighted",2,2,TRUE,"reporting_active_minus_pre",11,0.145410618268753,0.130478662180212,0.11095522788898
"A","unweighted",2,2,TRUE,"count_active_minus_pre",11,0.17057697641093,0.158220741237151,0.0983713062210235
"A","unweighted",2,2,TRUE,"reporting_spawn_minus_early_egg",11,-0.0681049125611908,-0.0069030942855369,0.114045148460902
"A","unweighted",2,2,TRUE,"count_spawn_minus_early_egg",11,-0.161667219590577,-0.183120767404332,0.106618312413363
"A","inverse_variance",3,1,TRUE,"reporting_active_minus_pre",24,-0.0259734591479576,-0.0215546515127943,0.0764002627778807
"A","inverse_variance",3,1,TRUE,"count_active_minus_pre",24,0.0371142947365909,0.0264565733633181,0.0620256744199731
"A","inverse_variance",3,1,TRUE,"reporting_spawn_minus_early_egg",24,-0.0299888513474894,-0.030411536573206,0.0743368955839157
"A","inverse_variance",3,1,TRUE,"count_spawn_minus_early_egg",24,-0.0125159766301077,-0.0194186604015318,0.09556580457594
"A","inverse_variance",3,2,TRUE,"reporting_active_minus_pre",21,0.144096360170738,0.130478662180212,0.113723908320534
"A","inverse_variance",3,2,TRUE,"count_active_minus_pre",21,0.132566817731008,0.132341263201429,0.0870891842715334
"A","inverse_variance",3,2,TRUE,"reporting_spawn_minus_early_egg",21,0.00733575193868089,0.0042204865064063,0.102048234174102
"A","inverse_variance",3,2,TRUE,"count_spawn_minus_early_egg",21,-0.105442601794953,-0.0876579875438241,0.10054689558223
"A","inverse_variance",3,3,TRUE,"reporting_active_minus_pre",1,0.0402408996144801,0.0402408996144801,
"A","inverse_variance",3,3,TRUE,"count_active_minus_pre",1,0.0607002860704576,0.0607002860704576,
"A","inverse_variance",3,3,TRUE,"reporting_spawn_minus_early_egg",1,0.152311961907871,0.152311961907871,
"A","inverse_variance",3,3,TRUE,"count_spawn_minus_early_egg",1,0.134828351576171,0.134828351576171,
"A","reliability_shrunk",2,1,TRUE,"reporting_active_minus_pre",29,-0.0156704469041007,-0.00920227921807246,0.0772491982224708
"A","reliability_shrunk",2,1,TRUE,"count_active_minus_pre",29,0.0405294846682913,0.0272248294295547,0.0596689695950152
"A","reliability_shrunk",2,1,TRUE,"reporting_spawn_minus_early_egg",29,-0.0162021168782888,-0.0289525261528519,0.0877531748519638
