"feature_set","scheme","selected_k","cluster","member_count","mean_bootstrap_jaccard","dissolved_fraction","recovered_fraction","stable_at_0_6","bootstrap_replicates","seed"
"A","unweighted",2,1,35,0.816258475138959,0.032,0.711,TRUE,1000,20280726
"A","unweighted",2,2,11,0.625458218086065,0.333,0.265,TRUE,1000,20280726
"A","inverse_variance",3,1,24,0.791795151776699,0.052,0.624,TRUE,1000,20280727
"A","inverse_variance",3,2,21,0.62273319166928,0.377,0.325,TRUE,1000,20280727
"A","inverse_variance",3,3,1,0.635,0.365,0.635,TRUE,1000,20280727
"A","reliability_shrunk",2,1,29,0.849526640804395,0.002,0.815,TRUE,1000,20280728
"A","reliability_shrunk",2,2,17,0.734857898534523,0.179,0.56,TRUE,1000,20280728
"B","unweighted",2,1,37,0.825307007050522,0.025,0.714,TRUE,1000,20280729
"B","unweighted",2,2,9,0.485738138747538,0.584,0.227,FALSE,1000,20280729
"B","inverse_variance",2,1,29,0.801630888251422,0.145,0.706,TRUE,1000,20280730
"B","inverse_variance",2,2,17,0.728327884308163,0.21,0.519,TRUE,1000,20280730
"B","reliability_shrunk",2,1,11,0.475032284092871,0.687,0.157,FALSE,1000,20280731
"B","reliability_shrunk",2,2,35,0.663764549276404,0.176,0.266,TRUE,1000,20280731
