"feature_set","feature","scale","estimate_source","standard_error_source"
"A","reporting_active_minus_pre","link","active_minus_pre_contrasts_v1.csv","archived active-minus-pre standard_error"
"A","count_active_minus_pre","link","active_minus_pre_contrasts_v1.csv","archived active-minus-pre standard_error"
"A","reporting_spawn_minus_early_egg","link","item10_species_timing_contrasts.csv","exact_timing_standard_error from persisted covariance"
"A","count_spawn_minus_early_egg","link","item10_species_timing_contrasts.csv","exact_timing_standard_error from persisted covariance"
"B","reporting__did_early_pre","link","effect_estimates_v1.csv","archived period standard_error"
"B","reporting__did_immediate_pre","link","effect_estimates_v1.csv","archived period standard_error"
"B","reporting__did_spawn_start","link","effect_estimates_v1.csv","archived period standard_error"
"B","reporting__did_early_egg","link","effect_estimates_v1.csv","archived period standard_error"
"B","reporting__did_late_egg","link","effect_estimates_v1.csv","archived period standard_error"
"B","reporting__did_active_0_14_day","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_early_pre","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_immediate_pre","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_spawn_start","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_early_egg","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_late_egg","link","effect_estimates_v1.csv","archived period standard_error"
"B","count__did_active_0_14_day","link","effect_estimates_v1.csv","archived period standard_error"
