"feature_set","scheme","selected_k","common_name","guild","assigned_cluster","guild_modal_cluster"
"A","unweighted",2,"Bufflehead","roe_diving_seaduck",1,"2"
"A","unweighted",2,"Short-billed Gull","gull_roe",2,"1"
"A","unweighted",2,"Barrow's Goldeneye","roe_diving_seaduck",1,"2"
"A","unweighted",2,"Bonaparte's Gull","gull_roe",2,"1"
"A","unweighted",2,"Western Gull","gull_roe",2,"1"
"A","inverse_variance",3,"Mallard","surface_vegetation_roe",1,"2"
"A","inverse_variance",3,"Bald Eagle","shoreline_scavenger",3,"1"
"A","inverse_variance",3,"Canada Goose","surface_vegetation_roe",1,"2"
"A","inverse_variance",3,"Great Blue Heron","shoreline_scavenger",2,"1"
"A","inverse_variance",3,"Common Merganser","piscivore_active_spawn",2,"1"
"A","inverse_variance",3,"Ring-billed Gull","gull_roe",1,"2"
"A","inverse_variance",3,"Western Gull","gull_roe",1,"2"
"A","reliability_shrunk",2,"Mallard","surface_vegetation_roe",1,"2"
"A","reliability_shrunk",2,"Canada Goose","surface_vegetation_roe",1,"2"
"A","reliability_shrunk",2,"Bufflehead","roe_diving_seaduck",1,"2"
"A","reliability_shrunk",2,"Common Merganser","piscivore_active_spawn",2,"1"
"A","reliability_shrunk",2,"Barrow's Goldeneye","roe_diving_seaduck",1,"2"
"A","reliability_shrunk",2,"Ring-billed Gull","gull_roe",1,"2"
"A","reliability_shrunk",2,"Black Scoter","roe_diving_seaduck",1,"2"
"A","reliability_shrunk",2,"Western Gull","gull_roe",1,"2"
"B","unweighted",2,"Harlequin Duck","roe_diving_seaduck",2,"1"
"B","unweighted",2,"Lesser Scaup","roe_diving_seaduck",2,"1"
"B","unweighted",2,"Ring-billed Gull","gull_roe",1,"2"
"B","unweighted",2,"Greater Scaup","roe_diving_seaduck",2,"1"
"B","unweighted",2,"Long-tailed Duck","roe_diving_seaduck",2,"1"
"B","unweighted",2,"American Herring Gull","gull_roe",1,"2"
"B","unweighted",2,"Western Gull","gull_roe",1,"2"
"B","inverse_variance",2,"Bald Eagle","shoreline_scavenger",2,"1"
"B","inverse_variance",2,"Canada Goose","surface_vegetation_roe",1,"2"
"B","inverse_variance",2,"Common Merganser","piscivore_active_spawn",2,"1"
"B","inverse_variance",2,"Red-necked Grebe","piscivore_active_spawn",2,"1"
"B","inverse_variance",2,"Ring-billed Gull","gull_roe",1,"2"
"B","inverse_variance",2,"Brant","surface_vegetation_roe",1,"2"
"B","inverse_variance",2,"Western Gull","gull_roe",1,"2"
"B","reliability_shrunk",2,"Hooded Merganser","piscivore_active_spawn",1,"2"
"B","reliability_shrunk",2,"Common Loon","piscivore_active_spawn",1,"2"
"B","reliability_shrunk",2,"Ring-billed Gull","gull_roe",1,"2"
"B","reliability_shrunk",2,"Black Turnstone","intertidal_roe_shorebird",2,"1"
"B","reliability_shrunk",2,"Marbled Murrelet","alcid_piscivore",2,"1"
"B","reliability_shrunk",2,"Western Grebe","piscivore_active_spawn",1,"2"
