"feature_set","scheme","k","mean_silhouette","gap","gap_standard_error","gap_bootstrap_replicates","gap_seed","selected_by_gap_first_se_max","maximum_silhouette"
"A","unweighted",2,0.301870498897391,0.64024522809803,0.0786523428625745,500,20261725,TRUE,TRUE
"A","unweighted",3,0.187913281873814,0.600128042418521,0.0814865100484008,500,20261725,FALSE,FALSE
"A","unweighted",4,0.207058732463945,0.56755584531317,0.0814356981124372,500,20261725,FALSE,FALSE
"A","unweighted",5,0.206963704779855,0.579781487737939,0.0837562019876187,500,20261725,FALSE,FALSE
"A","unweighted",6,0.217492244567529,0.597111744907266,0.0844491419842672,500,20261725,FALSE,FALSE
"A","unweighted",7,0.220959670954148,0.580924310064368,0.0868603444178154,500,20261725,FALSE,FALSE
"A","unweighted",8,0.225958160740059,0.591811492960508,0.0892292825120019,500,20261725,FALSE,FALSE
"A","inverse_variance",2,0.632310880909077,0.700890580482198,0.0877428558874414,500,20262725,FALSE,TRUE
"A","inverse_variance",3,0.247534747725658,0.724681664192807,0.0853829546765793,500,20262725,TRUE,FALSE
"A","inverse_variance",4,0.255898050477236,0.778894792065778,0.0838349706730354,500,20262725,FALSE,FALSE
"A","inverse_variance",5,0.280239338675668,0.796674934876769,0.0839030869231907,500,20262725,FALSE,FALSE
"A","inverse_variance",6,0.271164869998916,0.789822453902475,0.0841796092804339,500,20262725,FALSE,FALSE
"A","inverse_variance",7,0.212050610844066,0.805631573792348,0.0860967546188534,500,20262725,FALSE,FALSE
"A","inverse_variance",8,0.206396314433323,0.797502336233197,0.0884487606337021,500,20262725,FALSE,FALSE
"A","reliability_shrunk",2,0.310424567796456,0.540523544960457,0.0786781452604379,500,20263725,TRUE,FALSE
"A","reliability_shrunk",3,0.315571825023731,0.483437743067708,0.0809118827262103,500,20263725,FALSE,FALSE
"A","reliability_shrunk",4,0.347478764720405,0.516170977866017,0.0816236635094858,500,20263725,FALSE,TRUE
"A","reliability_shrunk",5,0.294369342276825,0.496721190089177,0.0820100685447966,500,20263725,FALSE,FALSE
"A","reliability_shrunk",6,0.224134514532445,0.480685943350982,0.0819381101753892,500,20263725,FALSE,FALSE
"A","reliability_shrunk",7,0.217819446915791,0.445612749638747,0.0825067287774663,500,20263725,FALSE,FALSE
"A","reliability_shrunk",8,0.219606301629437,0.427570472854593,0.0837699796615308,500,20263725,FALSE,FALSE
"B","unweighted",2,0.264841974111034,0.768383922507067,0.0705811331099371,500,20264725,TRUE,FALSE
"B","unweighted",3,0.283044911397792,0.783610484668258,0.0636113054660581,500,20264725,FALSE,TRUE
"B","unweighted",4,0.195645064883714,0.801228613841785,0.0603737995659393,500,20264725,FALSE,FALSE
"B","unweighted",5,0.196473329459226,0.796934125147653,0.0578511962896459,500,20264725,FALSE,FALSE
"B","unweighted",6,0.203366915253848,0.817822069938918,0.0578156700815825,500,20264725,FALSE,FALSE
"B","unweighted",7,0.130712950768337,0.819377885315205,0.0586135253889854,500,20264725,FALSE,FALSE
"B","unweighted",8,0.129022226894446,0.83235981834051,0.0596835632210912,500,20264725,FALSE,FALSE
"B","inverse_variance",2,0.250800365156979,0.530833445243837,0.0692469581981796,500,20265725,TRUE,TRUE
"B","inverse_variance",3,0.219153221489148,0.473180569460479,0.064059492011717,500,20265725,FALSE,FALSE
"B","inverse_variance",4,0.197004032253842,0.450188010398217,0.0663201271157805,500,20265725,FALSE,FALSE
"B","inverse_variance",5,0.199702750441724,0.438361862003354,0.0639736282678673,500,20265725,FALSE,FALSE
"B","inverse_variance",6,0.209957723115358,0.453654657705209,0.061969067281591,500,20265725,FALSE,FALSE
"B","inverse_variance",7,0.196063895602585,0.467572075749441,0.0613335098855819,500,20265725,FALSE,FALSE
"B","inverse_variance",8,0.201568363870783,0.48955521893405,0.0614681686819251,500,20265725,FALSE,FALSE
"B","reliability_shrunk",2,0.160595022014306,0.569367232254985,0.0692424814035113,500,20266725,TRUE,FALSE
"B","reliability_shrunk",3,0.170798959922981,0.545604844418114,0.0644012153790711,500,20266725,FALSE,TRUE
"B","reliability_shrunk",4,0.163186202399936,0.578043519130992,0.060477115577732,500,20266725,FALSE,FALSE
"B","reliability_shrunk",5,0.142042854873412,0.532958779118542,0.0589337707350853,500,20266725,FALSE,FALSE
"B","reliability_shrunk",6,0.149239682985692,0.512409085838312,0.0585348506865305,500,20266725,FALSE,FALSE
"B","reliability_shrunk",7,0.135370152419105,0.504729504406321,0.0597641797402078,500,20266725,FALSE,FALSE
"B","reliability_shrunk",8,0.137262645261769,0.50851649919024,0.0601029100723354,500,20266725,FALSE,FALSE
