"feature_set","scheme","k","selection_role","ari_to_selected_partition","ari_to_guild","nmi_to_guild","cluster_sizes"
"A","unweighted",2,"selected",1,0.0986985332676509,0.325114383867485,"35|11"
"A","unweighted",3,"k_plus_1",0.464655172413793,0.186270044823701,0.413239789185883,"15|20|11"
"A","inverse_variance",2,"k_minus_1",0.0773638968481375,0.00983131532650314,0.127517255172321,"45|1"
"A","inverse_variance",3,"selected",1,0.213682106665732,0.371799860907132,"24|21|1"
"A","inverse_variance",4,"k_plus_1",0.807698870422824,0.240163402814059,0.41514649543794,"24|7|1|14"
"A","reliability_shrunk",2,"selected",1,0.105263919382783,0.25512399162665,"29|17"
"A","reliability_shrunk",3,"k_plus_1",0.865295012289855,0.161217533628368,0.411258490235496,"29|10|7"
"B","unweighted",2,"selected",1,0.0427803151095857,0.244895869029965,"37|9"
"B","unweighted",3,"k_plus_1",0.853150425042869,0.0398077085266088,0.259300351560086,"35|9|2"
"B","inverse_variance",2,"selected",1,0.0453652696343506,0.155408117131993,"29|17"
"B","inverse_variance",3,"k_plus_1",0.865295012289855,0.0543138859535519,0.229839431980186,"29|10|7"
"B","reliability_shrunk",2,"selected",1,0.0592254763304677,0.186525390673169,"11|35"
"B","reliability_shrunk",3,"k_plus_1",0.632792701469843,0.0761903985588464,0.212725566147644,"11|28|7"
