"feature_set","scheme","axis","variance_explained_percent"
"A","unweighted",1,45.1679032400834
"A","unweighted",2,25.9994253612062
"A","unweighted",3,18.7950935917117
"A","unweighted",4,10.0375778069986
"A","inverse_variance",1,44.2680599337901
"A","inverse_variance",2,32.0788872109168
"A","inverse_variance",3,14.1629661315959
"A","inverse_variance",4,9.49008672369717
"A","reliability_shrunk",1,41.5132462661486
"A","reliability_shrunk",2,30.1680238847399
"A","reliability_shrunk",3,17.5758733773328
"A","reliability_shrunk",4,10.7428564717787
"B","unweighted",1,48.7856890401901
"B","unweighted",2,18.7767014721369
"B","unweighted",3,9.51695770743563
"B","unweighted",4,5.83732825161726
"B","unweighted",5,4.85529747940924
"B","unweighted",6,4.51924065048599
"B","unweighted",7,3.17762449916264
"B","unweighted",8,1.95244093127705
"B","unweighted",9,1.81224313527507
"B","unweighted",10,0.766476833010172
"B","unweighted",11,1.09998329148931e-29
"B","unweighted",12,7.48028400839798e-30
"B","inverse_variance",1,44.0591006330741
"B","inverse_variance",2,22.0197737831244
"B","inverse_variance",3,11.9081315643863
"B","inverse_variance",4,7.49306612162069
"B","inverse_variance",5,4.52952252897876
"B","inverse_variance",6,3.48413915266614
"B","inverse_variance",7,3.05541715917033
"B","inverse_variance",8,1.32918815843364
"B","inverse_variance",9,1.21156036720192
"B","inverse_variance",10,0.905835711632726
"B","inverse_variance",11,0.00268537030285768
"B","inverse_variance",12,0.00157944940806423
"B","reliability_shrunk",1,43.2132967470846
"B","reliability_shrunk",2,22.2960390564312
"B","reliability_shrunk",3,8.71921248178756
"B","reliability_shrunk",4,7.29717156071425
"B","reliability_shrunk",5,5.6537502520668
"B","reliability_shrunk",6,5.14979141146316
"B","reliability_shrunk",7,3.05383388185881
"B","reliability_shrunk",8,1.94689702009487
"B","reliability_shrunk",9,1.77467352283829
"B","reliability_shrunk",10,0.884789249688654
"B","reliability_shrunk",11,0.00761820304365682
"B","reliability_shrunk",12,0.00292661292809181
