"feature_set","feature","family_mean","tau_squared","reliability_min","reliability_median","reliability_max"
"A","reporting_active_minus_pre",0.045931205154512,0.00795948678742916,0.291516370961432,0.789267650578193,0.93266544798191
"A","count_active_minus_pre",0.0622532000176588,0.00387134524929471,0.10842055633046,0.71652494065916,0.982595224595007
"A","reporting_spawn_minus_early_egg",0.0206035448931578,0.00279316199459065,0.047529243643017,0.406160632219448,0.666295904865152
"A","count_spawn_minus_early_egg",0.000692111141243207,0.00603204648885182,0.0993285423634113,0.721725595271431,0.976418355832119
"B","reporting__did_early_pre",-0.0106156875438761,9.82154993061238e-05,0.00233188901545388,0.0260334037358662,0.0931649082875248
"B","reporting__did_immediate_pre",0.0132438523057926,0.00236475808869672,0.0704144899713507,0.409188187943401,0.713484482027627
"B","reporting__did_spawn_start",0.062031072526214,0.0141870559784293,0.216115735470825,0.776551699741898,0.915125717777997
"B","reporting__did_early_egg",0.0383755099800711,0.00889136636798264,0.295978289278944,0.776466503881617,0.931130946194906
"B","reporting__did_late_egg",0.0381242986741249,0.0064935979102092,0.231231971479872,0.717677601745773,0.918779405478365
"B","reporting__did_active_0_14_day",0.0442195762152116,0.00959039533591789,0.317993645821561,0.813967224941665,0.944704250972602
"B","count__did_early_pre",-0.000566267654156871,0.00022692399249863,0.00265220058678702,0.0768666944230401,0.645632701064554
"B","count__did_immediate_pre",0.0168376863491534,0.000718252469263775,0.0106681329248393,0.240470130414264,0.859555352423015
"B","count__did_spawn_start",0.0732664563627174,0.00623340367635164,0.110821381979977,0.704369403302037,0.978004133514561
"B","count__did_early_egg",0.0687257621619931,0.00648411338469418,0.131233124402084,0.782269683569222,0.98718855334763
"B","count__did_late_egg",0.0324531743450783,0.00290791428392024,0.0657200009267712,0.609433535904223,0.973880593124718
"B","count__did_active_0_14_day",0.0704900497184277,0.0053760158665503,0.113345063163672,0.785845389688646,0.9870368728993
