"feature_set","scheme","selected_k","analysis_taxon_id","common_name","cluster","assignment_stability","prevalence","bootstrap_replicates","seed"
"A","unweighted",2,"atx_c9db024faf12","American Crow",1,0.981481481481482,0.53504,1000,20290726
"A","unweighted",2,"atx_725074cbfcb6","Glaucous-winged Gull",1,0.707165109034268,0.41232,1000,20290726
"A","unweighted",2,"atx_815c98107028","Mallard",1,0.987441130298273,0.39548,1000,20290726
"A","unweighted",2,"atx_fc0a9b777dcd","Bald Eagle",1,0.926216640502355,0.38775,1000,20290726
"A","unweighted",2,"atx_b3d3ea90f9cb","Canada Goose",1,0.993680884676145,0.32779,1000,20290726
"A","unweighted",2,"atx_v2_000007","Common Raven",1,0.979591836734694,0.28374,1000,20290726
"A","unweighted",2,"atx_99238953638b","Bufflehead",1,0.928237129485179,0.23623,1000,20290726
"A","unweighted",2,"atx_7b80ddaff058","Great Blue Heron",1,0.948051948051948,0.23489,1000,20290726
"A","unweighted",2,"atx_a113baee5693","American Wigeon",1,0.70398773006135,0.16854,1000,20290726
"A","unweighted",2,"atx_a444854c6b66","Double-crested Cormorant",1,0.974842767295597,0.13564,1000,20290726
"A","unweighted",2,"atx_35518e24dfdd","Common Merganser",1,0.62200956937799,0.12976,1000,20290726
"A","unweighted",2,"atx_e0e678a61ad7","Short-billed Gull",2,0.728414442700157,0.10698,1000,20290726
"A","unweighted",2,"atx_82312e6f2848","Common Goldeneye",2,0.686998394863563,0.10014,1000,20290726
"A","unweighted",2,"atx_04afbeb21fb0","Hooded Merganser",1,0.990783410138249,0.09505,1000,20290726
"A","unweighted",2,"atx_35707a9578d5","Pelagic Cormorant",1,0.971830985915493,0.08818,1000,20290726
"A","unweighted",2,"atx_1930f23cc4f8","Surf Scoter",2,0.807874015748032,0.07904,1000,20290726
"A","unweighted",2,"atx_9ae1aa9b7fdf","Common Loon",1,0.964723926380368,0.07174,1000,20290726
"A","unweighted",2,"atx_7d980a7c8c37","Northern Pintail",1,0.545731707317073,0.07054,1000,20290726
"A","unweighted",2,"atx_v2_000002","Black Oystercatcher",1,0.969793322734499,0.06336,1000,20290726
"A","unweighted",2,"atx_c2d1fbbaf6d3","Red-breasted Merganser",1,0.958715596330275,0.06276,1000,20290726
"A","unweighted",2,"atx_6b4cfd1ab927","Horned Grebe",1,0.965079365079365,0.06105,1000,20290726
"A","unweighted",2,"atx_87b306550dba","Harlequin Duck",2,0.75077399380805,0.05627,1000,20290726
"A","unweighted",2,"atx_d7dd9536145c","Barrow's Goldeneye",1,0.814528593508501,0.05172,1000,20290726
"A","unweighted",2,"atx_d002764a39e8","Lesser Scaup",2,0.834905660377358,0.04506,1000,20290726
"A","unweighted",2,"atx_86eda7ed9025","Red-necked Grebe",1,0.969889064976228,0.0379,1000,20290726
"A","unweighted",2,"atx_c12b832d2b03","California Gull",1,0.414125200642055,0.0324,1000,20290726
"A","unweighted",2,"atx_8608f2ed61cf","Pigeon Guillemot",1,0.964968152866242,0.02949,1000,20290726
"A","unweighted",2,"atx_c34f23342a55","Pacific Loon",1,0.968944099378882,0.02846,1000,20290726
"A","unweighted",2,"atx_v2_000003","Dunlin",1,0.953376205787781,0.02803,1000,20290726
"A","unweighted",2,"atx_3083477933a8","White-winged Scoter",2,0.797077922077922,0.02272,1000,20290726
"A","unweighted",2,"atx_aa5353f6d6d2","Iceland Gull",1,0.3546875,0.02193,1000,20290726
"A","unweighted",2,"atx_08bb40b40c0a","Ring-billed Gull",1,0.993827160493827,0.02189,1000,20290726
"A","unweighted",2,"atx_4ae57d328ec6","Greater Scaup",2,0.818910256410256,0.02168,1000,20290726
"A","unweighted",2,"atx_15dd5efcd8d6","Black Turnstone",1,0.818181818181818,0.02068,1000,20290726
"A","unweighted",2,"atx_fadb8da1a816","Bonaparte's Gull",2,0.875796178343949,0.01902,1000,20290726
"A","unweighted",2,"atx_v2_000006","Black-bellied Plover",1,0.9152,0.01866,1000,20290726
"A","unweighted",2,"atx_59441ff7abde","Brant",1,0.632165605095541,0.01803,1000,20290726
"A","unweighted",2,"atx_acf526bb8010","Marbled Murrelet",1,0.80030487804878,0.01436,1000,20290726
"A","unweighted",2,"atx_40f730f5ad72","Long-tailed Duck",2,0.919811320754717,0.01413,1000,20290726
"A","unweighted",2,"atx_98ca0000b734","Brandt's Cormorant",1,0.99203821656051,0.01202,1000,20290726
"A","unweighted",2,"atx_136b0e66254b","Common Murre",1,0.870491803278688,0.00949,1000,20290726
"A","unweighted",2,"atx_7571c026ae99","American Herring Gull",1,0.406441717791411,0.00901,1000,20290726
"A","unweighted",2,"atx_1328b44be502","Black Scoter",2,0.503987240829346,0.0082,1000,20290726
"A","unweighted",2,"atx_04cf65098f13","Red-throated Loon",1,0.938438438438438,0.00688,1000,20290726
"A","unweighted",2,"atx_ebf17f77fb66","Western Grebe",1,0.923452768729642,0.00628,1000,20290726
"A","unweighted",2,"atx_5a9a3495d0ea","Western Gull",2,0.632075471698113,0.00335,1000,20290726
"A","inverse_variance",3,"atx_c9db024faf12","American Crow",1,0.959311424100156,0.53504,1000,20290727
"A","inverse_variance",3,"atx_725074cbfcb6","Glaucous-winged Gull",2,0.75,0.41232,1000,20290727
"A","inverse_variance",3,"atx_815c98107028","Mallard",1,0.960244648318043,0.39548,1000,20290727
"A","inverse_variance",3,"atx_fc0a9b777dcd","Bald Eagle",3,0.989345509893455,0.38775,1000,20290727
"A","inverse_variance",3,"atx_b3d3ea90f9cb","Canada Goose",1,0.979166666666667,0.32779,1000,20290727
"A","inverse_variance",3,"atx_v2_000007","Common Raven",1,0.858520900321543,0.28374,1000,20290727
"A","inverse_variance",3,"atx_99238953638b","Bufflehead",2,0.4192,0.23623,1000,20290727
"A","inverse_variance",3,"atx_7b80ddaff058","Great Blue Heron",2,0.170212765957447,0.23489,1000,20290727
"A","inverse_variance",3,"atx_a113baee5693","American Wigeon",2,0.560126582278481,0.16854,1000,20290727
"A","inverse_variance",3,"atx_a444854c6b66","Double-crested Cormorant",1,0.95952023988006,0.13564,1000,20290727
"A","inverse_variance",3,"atx_35518e24dfdd","Common Merganser",2,0.743670886075949,0.12976,1000,20290727
"A","inverse_variance",3,"atx_e0e678a61ad7","Short-billed Gull",2,0.81089258698941,0.10698,1000,20290727
"A","inverse_variance",3,"atx_82312e6f2848","Common Goldeneye",2,0.699842022116904,0.10014,1000,20290727
"A","inverse_variance",3,"atx_04afbeb21fb0","Hooded Merganser",1,0.975460122699387,0.09505,1000,20290727
"A","inverse_variance",3,"atx_35707a9578d5","Pelagic Cormorant",1,0.947611710323575,0.08818,1000,20290727
"A","inverse_variance",3,"atx_1930f23cc4f8","Surf Scoter",2,0.724137931034483,0.07904,1000,20290727
"A","inverse_variance",3,"atx_9ae1aa9b7fdf","Common Loon",1,0.982945736434109,0.07174,1000,20290727
"A","inverse_variance",3,"atx_7d980a7c8c37","Northern Pintail",2,0.671732522796353,0.07054,1000,20290727
"A","inverse_variance",3,"atx_v2_000002","Black Oystercatcher",1,0.973143759873618,0.06336,1000,20290727
"A","inverse_variance",3,"atx_c2d1fbbaf6d3","Red-breasted Merganser",1,0.944954128440367,0.06276,1000,20290727
"A","inverse_variance",3,"atx_6b4cfd1ab927","Horned Grebe",1,0.978328173374613,0.06105,1000,20290727
"A","inverse_variance",3,"atx_87b306550dba","Harlequin Duck",2,0.795631825273011,0.05627,1000,20290727
"A","inverse_variance",3,"atx_d7dd9536145c","Barrow's Goldeneye",2,0.275590551181102,0.05172,1000,20290727
"A","inverse_variance",3,"atx_d002764a39e8","Lesser Scaup",2,0.686786296900489,0.04506,1000,20290727
"A","inverse_variance",3,"atx_86eda7ed9025","Red-necked Grebe",1,0.923566878980892,0.0379,1000,20290727
"A","inverse_variance",3,"atx_c12b832d2b03","California Gull",2,0.727131782945736,0.0324,1000,20290727
"A","inverse_variance",3,"atx_8608f2ed61cf","Pigeon Guillemot",1,0.947635135135135,0.02949,1000,20290727
"A","inverse_variance",3,"atx_c34f23342a55","Pacific Loon",1,0.968181818181818,0.02846,1000,20290727
"A","inverse_variance",3,"atx_v2_000003","Dunlin",1,0.937908496732026,0.02803,1000,20290727
"A","inverse_variance",3,"atx_3083477933a8","White-winged Scoter",2,0.641993957703928,0.02272,1000,20290727
"A","inverse_variance",3,"atx_aa5353f6d6d2","Iceland Gull",2,0.796529968454259,0.02193,1000,20290727
"A","inverse_variance",3,"atx_08bb40b40c0a","Ring-billed Gull",1,0.966507177033493,0.02189,1000,20290727
"A","inverse_variance",3,"atx_4ae57d328ec6","Greater Scaup",2,0.685714285714286,0.02168,1000,20290727
"A","inverse_variance",3,"atx_15dd5efcd8d6","Black Turnstone",1,0.91566265060241,0.02068,1000,20290727
"A","inverse_variance",3,"atx_fadb8da1a816","Bonaparte's Gull",2,0.635367762128325,0.01902,1000,20290727
"A","inverse_variance",3,"atx_v2_000006","Black-bellied Plover",1,0.950769230769231,0.01866,1000,20290727
"A","inverse_variance",3,"atx_59441ff7abde","Brant",2,0.6140625,0.01803,1000,20290727
"A","inverse_variance",3,"atx_acf526bb8010","Marbled Murrelet",1,0.866454689984102,0.01436,1000,20290727
"A","inverse_variance",3,"atx_40f730f5ad72","Long-tailed Duck",2,0.697305863708399,0.01413,1000,20290727
"A","inverse_variance",3,"atx_98ca0000b734","Brandt's Cormorant",1,0.95625,0.01202,1000,20290727
"A","inverse_variance",3,"atx_136b0e66254b","Common Murre",1,0.978090766823161,0.00949,1000,20290727
"A","inverse_variance",3,"atx_7571c026ae99","American Herring Gull",2,0.714285714285714,0.00901,1000,20290727
"A","inverse_variance",3,"atx_1328b44be502","Black Scoter",2,0.45,0.0082,1000,20290727
"A","inverse_variance",3,"atx_04cf65098f13","Red-throated Loon",1,0.927492447129909,0.00688,1000,20290727
"A","inverse_variance",3,"atx_ebf17f77fb66","Western Grebe",1,0.955384615384615,0.00628,1000,20290727
"A","inverse_variance",3,"atx_5a9a3495d0ea","Western Gull",1,0.7584,0.00335,1000,20290727
"A","reliability_shrunk",2,"atx_c9db024faf12","American Crow",1,0.990445859872611,0.53504,1000,20290728
"A","reliability_shrunk",2,"atx_725074cbfcb6","Glaucous-winged Gull",2,0.666666666666667,0.41232,1000,20290728
"A","reliability_shrunk",2,"atx_815c98107028","Mallard",1,0.992150706436421,0.39548,1000,20290728
"A","reliability_shrunk",2,"atx_fc0a9b777dcd","Bald Eagle",1,0.644376899696049,0.38775,1000,20290728
"A","reliability_shrunk",2,"atx_b3d3ea90f9cb","Canada Goose",1,0.994991652754591,0.32779,1000,20290728
"A","reliability_shrunk",2,"atx_v2_000007","Common Raven",1,0.998463901689708,0.28374,1000,20290728
"A","reliability_shrunk",2,"atx_99238953638b","Bufflehead",1,0.616692426584235,0.23623,1000,20290728
