"analysis_taxon_id","detections","behavior_code_reports","released_behavior_code_reports","suppressed_below_20","free_text_comments_read","support_label"
"atx_v2_000007",96655,798,798,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_e0e678a61ad7",37564,70,70,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_c9db024faf12",176275,1821,1821,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_fc0a9b777dcd",133308,3094,3094,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_d7dd9536145c",16067,52,52,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_fadb8da1a816",6443,28,28,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_35518e24dfdd",41825,361,361,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_725074cbfcb6",139922,1339,1339,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_35707a9578d5",32268,172,172,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_a113baee5693",53490,134,134,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_99238953638b",74628,137,137,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_b3d3ea90f9cb",99148,2979,2979,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_eeefc021901e",20522,153,153,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_7b80ddaff058",75051,939,939,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_04afbeb21fb0",31368,258,258,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_815c98107028",122792,2520,2520,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
