"analysis_taxon_id_1","common_name_1","analysis_taxon_id_2","common_name_2","species_1_detections","species_2_detections","n11","shared_events","n10","n01","n00","suppressed_below_20","record_type","exposure_specific_association_computed","eligible_checklists","richness_q0","richness_q25","richness_q50","richness_q75","richness_q100","support_label"
"atx_1930f23cc4f8","Surf Scoter","atx_3083477933a8","White-winged Scoter",23066,7320,6094,1985,16972,1226,238047,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_87b306550dba","Harlequin Duck",23066,14480,7795,2024,15271,6685,232588,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_725074cbfcb6","Glaucous-winged Gull",23066,107489,18833,2567,4233,88656,150617,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_e0e678a61ad7","Short-billed Gull",23066,29650,11404,2428,11662,18246,221027,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_4ae57d328ec6","Greater Scaup",23066,6373,3399,1658,19667,2974,236299,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_59441ff7abde","Brant",23066,4601,2564,1315,20502,2037,237236,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_40f730f5ad72","Long-tailed Duck",23066,3965,3430,1458,19636,535,238738,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_1328b44be502","Black Scoter",23066,2261,1954,1400,21112,307,238966,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_d7dd9536145c","Barrow's Goldeneye",23066,13021,5252,1683,17814,7769,231504,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_82312e6f2848","Common Goldeneye",23066,25692,9853,1969,13213,15839,223434,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_99238953638b","Bufflehead",23066,60643,14283,2352,8783,46360,192913,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_d002764a39e8","Lesser Scaup",23066,11569,1018,1189,22048,10551,228722,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_35518e24dfdd","Common Merganser",23066,33244,7268,2232,15798,25976,213297,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_c2d1fbbaf6d3","Red-breasted Merganser",23066,17592,9465,2036,13601,8127,231146,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_9ae1aa9b7fdf","Common Loon",23066,20865,10071,2359,12995,10794,228479,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
