"source_record_id","source_record","complex_1km_3d","complex_2km_7d","complex_5km_14d","support_label","complex_2km_7d_antichain"
"hsr_83370a37814eb302","hsr_83370a37814eb302","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_01747adfdb4e3d8c","hsr_01747adfdb4e3d8c","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_e3d51c227f241d6f","hsr_e3d51c227f241d6f","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_b1087e838a91fe6e","hsr_b1087e838a91fe6e","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_331c1123dbb57bfc","hsr_331c1123dbb57bfc","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_983264b857f0d27f","hsr_983264b857f0d27f","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_8959f696070ed7fc","hsr_8959f696070ed7fc","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_7c6e0a65fd031927","hsr_7c6e0a65fd031927","compl_436017b0a9b17f44","compl_436017b0a9b17f44","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6836a515db96fcb8"
"hsr_303ccb26b478111a","hsr_303ccb26b478111a","compl_e83cda788fdace65","compl_e83cda788fdace65","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f092dbe2b7238c27"
"hsr_2f8bdcc9107af336","hsr_2f8bdcc9107af336","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_beb1483b05d79dbd","hsr_beb1483b05d79dbd","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_00aff254d4a3a5c3","hsr_00aff254d4a3a5c3","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_4b0f59b11e7ea82e","hsr_4b0f59b11e7ea82e","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_f7d00f8c38f69318"
"hsr_68a52999160c53e2","hsr_68a52999160c53e2","compl_436017b0a9b17f44","compl_436017b0a9b17f44","compl_2dfc08431772a6b7","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_6836a515db96fcb8"
"hsr_03507705952aad41","hsr_03507705952aad41","compl_381ec63ac8e12ba5","compl_381ec63ac8e12ba5","compl_381ec63ac8e12ba5","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_72a895b9816b9b9a"
"hsr_0863c11c4e82b9ec","hsr_0863c11c4e82b9ec","compl_381ec63ac8e12ba5","compl_381ec63ac8e12ba5","compl_381ec63ac8e12ba5","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_72a895b9816b9b9a"
"hsr_14286128a8f95c81","hsr_14286128a8f95c81","compl_53bb093a1cd24bb2","compl_53bb093a1cd24bb2","compl_381ec63ac8e12ba5","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_8ad0346b37af97dd"
"hsr_774b22ca2a0c145a","hsr_774b22ca2a0c145a","compl_64a88ab3547be7f8","compl_64a88ab3547be7f8","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_b4aaff69473f9a7a"
"hsr_ac47d567d824db7b","hsr_ac47d567d824db7b","compl_64a88ab3547be7f8","compl_64a88ab3547be7f8","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_b4aaff69473f9a7a"
"hsr_a11840dd22974c09","hsr_a11840dd22974c09","compl_6d741fa68050e999","compl_6d741fa68050e999","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_97f8a4965bb84d02"
"hsr_59b40c11f5e9fc04","hsr_59b40c11f5e9fc04","compl_6d741fa68050e999","compl_6d741fa68050e999","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_97f8a4965bb84d02"
"hsr_f310369e91fc96ae","hsr_f310369e91fc96ae","compl_6d741fa68050e999","compl_6d741fa68050e999","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_97f8a4965bb84d02"
"hsr_1fa5b04def0b97c7","hsr_1fa5b04def0b97c7","compl_6d741fa68050e999","compl_6d741fa68050e999","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_97f8a4965bb84d02"
"hsr_54fc5c7493fa693a","hsr_54fc5c7493fa693a","compl_64a88ab3547be7f8","compl_64a88ab3547be7f8","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_b4aaff69473f9a7a"
"hsr_ddb6c197a0785834","hsr_ddb6c197a0785834","compl_64a88ab3547be7f8","compl_64a88ab3547be7f8","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_b4aaff69473f9a7a"
"hsr_99806c0b5c5a32d9","hsr_99806c0b5c5a32d9","compl_64a88ab3547be7f8","compl_64a88ab3547be7f8","compl_53bb093a1cd24bb2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_b4aaff69473f9a7a"
"hsr_1f190ad789e70f5b","hsr_1f190ad789e70f5b","compl_05f35e9da0c2557b","compl_05f35e9da0c2557b","compl_05f35e9da0c2557b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_922efded1dc33536"
"hsr_011f1e1065924c41","hsr_011f1e1065924c41","compl_7f1221a0a86b7230","compl_05f35e9da0c2557b","compl_05f35e9da0c2557b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_922efded1dc33536"
"hsr_227d24b93834df04","hsr_227d24b93834df04","compl_05f35e9da0c2557b","compl_05f35e9da0c2557b","compl_05f35e9da0c2557b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_922efded1dc33536"
"hsr_a59411a2fed73381","hsr_a59411a2fed73381","compl_cf209f2f760efdd0","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_44d33515e4b09918","hsr_44d33515e4b09918","compl_9ba3bf4c48a92328","compl_cf209f2f760efdd0","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_fc3fd3fc37324eb1"
"hsr_a7e8b9893a9d746f","hsr_a7e8b9893a9d746f","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_1d8f8be168da672f","hsr_1d8f8be168da672f","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_6ba32f630b504d7a","hsr_6ba32f630b504d7a","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_f24f328c0a20e918","hsr_f24f328c0a20e918","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_1a137e2a67ba0708","hsr_1a137e2a67ba0708","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_a630eabd39e1c0e9","hsr_a630eabd39e1c0e9","compl_e8e74b07556c5342","compl_9ba3bf4c48a92328","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_0bd75feb41664dff"
"hsr_8cc80823e570d960","hsr_8cc80823e570d960","compl_2c7e6e9de82866d5","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_cfed768d0613d538","hsr_cfed768d0613d538","compl_a253f21c823f1e84","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_b6a9349c8d5798d2","hsr_b6a9349c8d5798d2","compl_a253f21c823f1e84","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_222f47695799a2ab","hsr_222f47695799a2ab","compl_a253f21c823f1e84","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_43547dcd54637206","hsr_43547dcd54637206","compl_a253f21c823f1e84","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_f73371a16786002d","hsr_f73371a16786002d","compl_a253f21c823f1e84","compl_7f1221a0a86b7230","compl_7f1221a0a86b7230","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_c0b1925405beea0d"
"hsr_51d2fbe6fff34834","hsr_51d2fbe6fff34834","compl_c5a942219d155a21","compl_c5a942219d155a21","compl_c5a942219d155a21","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_09e1ffd901c4445a"
"hsr_5216f37429b0ed1d","hsr_5216f37429b0ed1d","compl_c5a942219d155a21","compl_c5a942219d155a21","compl_c5a942219d155a21","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_09e1ffd901c4445a"
"hsr_9f36eb6a45ed69e6","hsr_9f36eb6a45ed69e6","compl_67920a824ad01e74","compl_c5a942219d155a21","compl_c5a942219d155a21","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_09e1ffd901c4445a"
"hsr_09bed89afed66c2e","hsr_09bed89afed66c2e","compl_90ce5bd95045b744","compl_67920a824ad01e74","compl_67920a824ad01e74","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_ba31e7d34c5b335e"
"hsr_2fae02f80621a8c5","hsr_2fae02f80621a8c5","compl_90ce5bd95045b744","compl_67920a824ad01e74","compl_67920a824ad01e74","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_ba31e7d34c5b335e"
"hsr_e00d7b5cb78f8165","hsr_e00d7b5cb78f8165","compl_2e3edd2a37822bba","compl_67920a824ad01e74","compl_67920a824ad01e74","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_ba31e7d34c5b335e"
"hsr_6ec9a00743db54f2","hsr_6ec9a00743db54f2","compl_2e3edd2a37822bba","compl_67920a824ad01e74","compl_67920a824ad01e74","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE","ac2_ba31e7d34c5b335e"
