"definition","complex_id","source_records","region","regions","statistical_areas","sections","location_codes","methods","temporal_span_days","spatial_bbox_diameter_km","any_reversed_date","any_uncertain_date","generalized_easting_10km","generalized_northing_10km","crosses_region","crosses_statistical_area","crosses_section","crosses_location_code","mixed_method","temporal_review","spatial_review","review_required","review_reason","support_label"
"complex_1km_3d","hsr_ad24f4650a1fd0cf",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_e5382b2b008faf77",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_2892fd72a9f26359",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_7b006bd68df38c70",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,870,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_6256bbc5fd8e6450",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,870,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_015f902b64fcfc5e",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_00d53857e9826ebd",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_b762f273cde6f2fd",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_bd4b70feeb78e189",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_66c6dfd0e7525a40",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_5871a2cdb644da8b",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_f0037fb2e72da2e7",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_9f1d4d06eb23471d",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_b35fbcdbefada3f0",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_de4f5ad02c4bdde4",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_95a3edd0b27ace87",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,870,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_fa82283f116bee97",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,880,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_e9b9687bef60e45a",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,890,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_46738c47485feaf1",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,870,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_942cef35e2f4c8f6",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,870,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_1b1bb8814b2e998b",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,880,580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_07c6649c0805de0d",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_d461e71cdb523a73",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_f3a9c53f222bc3d3",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_b8aaaa691953a4e9",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_9c05cbe1ece5edc3",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_c2cb2d6d30268cbe",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_49cb6bff52ce9cd0",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_46638d0570798e65",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_bb1b48749ade33b6",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_cda48d1ee3730ac4",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,850,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_f11f90c7db4acfb9",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_8246865585c4fce8",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_fe6855d3834bc6de",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_270206c5816f1294",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_0d830f85796c00f5",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_7b27dc7ba0ed39a6",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_71c34ec887b90756",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_156046262d52f42a",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_494a54e66aa3e20e",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_561f3eb84a8f5c8b",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_8444b5139c0e8214",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_0535f60a85aa76a4",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_c81300cc0eea4d29",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,860,610,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_496d3ba70b664551",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3391498aa5af37f9",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,890,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_12b42f97ead6f682",1,"A27",1,1,1,1,1,,0,FALSE,TRUE,890,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
