"source_record_id","geometry_quality_tier","source_point_available","edge100_snap_distance_band","edge100_core_eligible","edge150_sensitivity_available","observed_length_available","actual_alongshore_geometry_constructed","safe_primary_complex_id","provisional_2km_7d_complex_id","antichain_complex_id","support_label"
"hsr_83370a37814eb302","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_83370a37814eb302","compl_2dfc08431772a6b7","ac2_f7d00f8c38f69318","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_01747adfdb4e3d8c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_01747adfdb4e3d8c","compl_2dfc08431772a6b7","ac2_f7d00f8c38f69318","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e3d51c227f241d6f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e3d51c227f241d6f","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b1087e838a91fe6e","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b1087e838a91fe6e","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_331c1123dbb57bfc","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_331c1123dbb57bfc","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_983264b857f0d27f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_983264b857f0d27f","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_8959f696070ed7fc","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_8959f696070ed7fc","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7c6e0a65fd031927","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7c6e0a65fd031927","compl_436017b0a9b17f44","ac2_6836a515db96fcb8","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_303ccb26b478111a","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_303ccb26b478111a","compl_e83cda788fdace65","ac2_f092dbe2b7238c27","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_2f8bdcc9107af336","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_2f8bdcc9107af336","compl_2dfc08431772a6b7","ac2_f7d00f8c38f69318","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_beb1483b05d79dbd","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_beb1483b05d79dbd","compl_2dfc08431772a6b7","ac2_f7d00f8c38f69318","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
