"synthetic_true_factor_count","candidate_factor_count","residual_rmse","converged","actual_crossing_calibration","observed_herring_effect_used","selection_status","support_label"
2,0,1.33736,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
2,2,0.68407,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
2,3,0.66992,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
2,4,0.65635,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
2,5,0.64296,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
3,0,1.23387,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
3,2,0.83963,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
3,3,0.67246,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
3,4,0.65915,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
3,5,0.64573,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
4,0,1.247,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
4,2,0.90399,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
4,3,0.77885,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
4,4,0.66318,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
4,5,0.64922,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
5,0,1.15514,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
5,2,0.8729,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
5,3,0.78462,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
5,4,0.70461,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
5,5,0.65029,TRUE,"event_observer_location_counts_only",FALSE,"procedure_frozen_no_observed_factor_count_selected","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
