"region","year","month","protocol","complete_checklists","unique_observers","unique_localities","source_events","event_complexes","duration_q50","duration_q90","travel_distance_q50","travel_distance_q90","maximum_observer_checklist_share","maximum_locality_checklist_share","repeat_localities","shoreline_link_support","support_label"
"WCVI",1988,2,"Traveling",2,1,2,1,1,50,170,2,6,1,0.5,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1988,5,"Traveling",1,1,1,1,1,180,180,3.5,3.5,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1988,4,"Traveling",1,1,1,1,1,165,165,3.5,3.5,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1988,3,"Traveling",1,1,1,1,1,165,165,3.5,3.5,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1988,2,"Stationary",1,1,1,1,1,30,30,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",1989,1,"Stationary",1,1,1,39,26,45,45,,,39,39,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",1989,7,"Traveling",2,1,2,24,18,60,270,0.805,0.805,12,6,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1989,2,"Traveling",4,2,4,2,2,90,240,2,3.5,1,0.5,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1989,1,"Traveling",2,2,2,2,2,115,150,2,3.5,1,1,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1989,4,"Traveling",4,2,4,2,2,140,230,3,6.5,1,0.5,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",1989,5,"Traveling",4,2,4,2,2,90,180,4,5,1.25,0.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
