"region","candidate_start_year","years_assessed","passing_years","passing_year_share","maximum_consecutive_failing_years","years_with_exposed_reference_overlap","represented_source_events","sustained_support_pass","recommended_primary_start_year","recommendation","support_label"
"A27",2005,21,0,0,21,8,91,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2010,16,0,0,16,7,81,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2015,11,0,0,11,6,62,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A2W",2005,21,0,0,21,0,20,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A2W",2010,16,0,0,16,0,20,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A2W",2015,11,0,0,11,0,18,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2005,21,4,0.19048,11,8,594,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2010,16,4,0.25,6,7,582,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2015,11,4,0.36364,6,5,461,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2005,21,0,0,21,9,428,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2010,16,0,0,16,9,387,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2015,11,0,0,11,9,355,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2005,21,7,0.33333,9,13,130,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2010,16,7,0.4375,4,13,130,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2015,11,6,0.54545,3,10,112,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2005,21,2,0.09524,19,6,512,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2010,16,2,0.125,14,6,476,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2015,11,2,0.18182,9,6,426,FALSE,,"descriptive_or_hierarchical_only_due_unsustained_support","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2005,21,21,1,0,21,1945,TRUE,2005,"candidate_primary_period","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2010,16,16,1,0,16,1572,TRUE,2005,"registered_period_sensitivity","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2015,11,11,1,0,11,1048,TRUE,2005,"registered_period_sensitivity","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2005,21,13,0.61905,4,14,719,FALSE,2015,"registered_period_sensitivity","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2010,16,12,0.75,2,13,655,FALSE,2015,"registered_period_sensitivity","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2015,11,10,0.90909,1,10,592,TRUE,2015,"candidate_primary_period","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
