"region","year","events_with_both_primary_periods","standardized_linked_checklists","represented_source_events","represented_provisional_complexes","primary_period_one_checklists","primary_period_two_checklists","near_ring_checklists","reference_ring_checklists","exposed_reference_overlap","usable_primary_event_windows","sustained_year_pass","support_label"
"A27",2005,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2006,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2007,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2008,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2009,0,38,10,4,0,0,2,36,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2010,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2011,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2012,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2013,0,7,14,6,0,0,5,7,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2014,0,2,5,2,0,0,0,2,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2015,0,9,18,7,0,0,3,6,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2016,0,2,10,5,0,0,1,1,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2017,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2018,0,6,5,5,1,0,0,2,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2019,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2020,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2021,0,5,4,1,0,0,1,4,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2022,0,51,2,2,3,0,5,30,TRUE,FALSE,FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
