"record_type","dataset","column_name","values_read","permitted_purpose","persisted_raw_values","exposure_specific_bird_summary","prospective_2026_plus_outcome_used","computed","persisted","check_status","support_label","prospective_2026_plus_response_summarized","prospective_2026_plus_response_direction_viewed","prospective_2026_plus_used_in_model_or_design_selection","prior_mechanical_pattern_scan_disclosed","repaired_extraction_filters_date_before_response_selection_or_persistence"
"response_column_access","EBD","CATEGORY",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","TAXON CONCEPT ID",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","COMMON NAME",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","SCIENTIFIC NAME",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","OBSERVATION COUNT",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","BEHAVIOR CODE",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","EBD","SAMPLING EVENT IDENTIFIER",TRUE,"registered taxonomy and support-only count-state audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","SAMPLING EVENT IDENTIFIER",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","LOCALITY ID",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","LATITUDE",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","LONGITUDE",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","OBSERVATION DATE",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","TIME OBSERVATIONS STARTED",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","OBSERVER ID",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","PROTOCOL NAME",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","PROTOCOL CODE",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","DURATION MINUTES",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","EFFORT DISTANCE KM",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","EFFORT AREA HA",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","NUMBER OBSERVERS",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","ALL SPECIES REPORTED",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","SED","GROUP IDENTIFIER",TRUE,"effort, coverage, privacy-safe concentration, and join support",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Region",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Year",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","StatisticalArea",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Section",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","LocationCode",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","LocationName",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","SpawnNumber",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","StartDate",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","EndDate",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Longitude",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Latitude",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Length",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Width",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Method",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Surface",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Macrocystis",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
"response_column_access","HERRING","Understory",TRUE,"event metadata, geometry, complex, and coverage audit",FALSE,FALSE,FALSE,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",FALSE,FALSE,FALSE,TRUE,TRUE
