"dimension","candidate_id","analysis_taxon_id","common_name","eligible_checklists","detections","positive_numeric_reports","X_reports","lower_bound_reports","ambiguity_affected_reports","years","locations","observers","positive_count_q50","positive_count_q90","positive_count_q99","represented_events","represented_event_complexes","positive_numeric_events","regions","maximum_event_share","maximum_observer_share","maximum_location_share","support_label"
"cooccurrence_eligibility","detection_community","atx_1930f23cc4f8","Surf Scoter",262339,23066,22351,692,0,23,37,3158,2064,12,200,4000,2709,1573,2663,8,0.05202,0.04084,0.0261,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_3083477933a8","White-winged Scoter",262339,7320,7014,295,0,11,33,1307,995,6,76,600,2035,1212,1965,8,0.03238,0.05096,0.04016,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_87b306550dba","Harlequin Duck",262339,14480,14248,223,0,9,36,2037,1733,5,20,105,2187,1267,2173,7,0.07113,0.023,0.07521,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_725074cbfcb6","Glaucous-winged Gull",262339,107489,101896,5538,0,55,38,10388,4281,5,38,300,3117,1789,3073,8,0.06437,0.02084,0.03061,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_e0e678a61ad7","Short-billed Gull",262339,29650,28108,1524,0,18,38,3639,1950,7,80,800,2717,1590,2636,8,0.05926,0.02438,0.07052,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_4ae57d328ec6","Greater Scaup",262339,6373,6078,287,0,8,34,987,1054,6,150,2000,1694,1063,1657,6,0.08426,0.03311,0.06826,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_59441ff7abde","Brant",262339,4601,4431,158,0,12,33,700,910,25,250,1077,1363,868,1340,6,0.07303,0.04216,0.07781,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_40f730f5ad72","Long-tailed Duck",262339,3965,3816,135,0,14,30,840,660,4,47,1000,1462,903,1428,6,0.04691,0.04691,0.06532,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_1328b44be502","Black Scoter",262339,2261,2138,118,0,5,31,586,569,5,45,240,1414,884,1357,8,0.04865,0.03627,0.08934,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_d7dd9536145c","Barrow's Goldeneye",262339,13021,12663,346,0,12,31,1883,1717,6,50,210,1766,1075,1750,7,0.10806,0.03218,0.10452,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_82312e6f2848","Common Goldeneye",262339,25692,25005,673,0,14,38,3018,2247,4,20,100,2149,1316,2133,6,0.07481,0.02121,0.10069,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_99238953638b","Bufflehead",262339,60643,58956,1646,0,41,38,5445,3523,6,27,113,2581,1504,2549,7,0.06302,0.0128,0.04884,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"cooccurrence_eligibility","detection_community","atx_d002764a39e8","Lesser Scaup",262339,11569,11022,540,0,7,30,918,1683,5,40,400,1211,765,1126,5,0.1077,0.01772,0.11565,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
