"analysis_taxon_id","common_name","scientific_name","registry_taxon_concept_ids","taxonomy_version","support_status","observed_taxon_concept_ids","observed_common_names","observed_scientific_names","observed_categories","exact_species_concept_reconciled","recommended_taxonomy_disposition","source_record_values_released","support_label"
"atx_1930f23cc4f8","Surf Scoter","Melanitta perspicillata","avibase-624078BA","eBird Taxonomy v2025","legacy_supported","avibase-624078BA","Surf Scoter","Melanitta perspicillata","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_3083477933a8","White-winged Scoter","Melanitta deglandi","avibase-4800D6B6","eBird Taxonomy v2025","legacy_supported","avibase-4800D6B6","White-winged Scoter","Melanitta deglandi","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_87b306550dba","Harlequin Duck","Histrionicus histrionicus","avibase-BCBD2EAE","eBird Taxonomy v2025","legacy_supported","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_725074cbfcb6","Glaucous-winged Gull","Larus glaucescens","avibase-03AC32BA","eBird Taxonomy v2025","legacy_supported","avibase-03AC32BA","Glaucous-winged Gull","Larus glaucescens","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_e0e678a61ad7","Short-billed Gull","Larus brachyrhynchus","avibase-342F6965","eBird Taxonomy v2025","legacy_supported","avibase-342F6965","Short-billed Gull","Larus brachyrhynchus","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_4ae57d328ec6","Greater Scaup","Aythya marila","avibase-25C94A8F","eBird Taxonomy v2025","legacy_supported","avibase-25C94A8F","Greater Scaup","Aythya marila","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_59441ff7abde","Brant","Branta bernicla","avibase-3E04020B","eBird Taxonomy v2025","legacy_supported","avibase-3E04020B","Brant","Branta bernicla","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_40f730f5ad72","Long-tailed Duck","Clangula hyemalis","avibase-AF0C7BDE","eBird Taxonomy v2025","legacy_supported","avibase-AF0C7BDE","Long-tailed Duck","Clangula hyemalis","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1328b44be502","Black Scoter","Melanitta americana","avibase-B7B1A5DD","eBird Taxonomy v2025","legacy_supported","avibase-B7B1A5DD","Black Scoter","Melanitta americana","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_d7dd9536145c","Barrow's Goldeneye","Bucephala islandica","avibase-9456DEDF","eBird Taxonomy v2025","legacy_supported","avibase-9456DEDF","Barrow's Goldeneye","Bucephala islandica","species",TRUE,"approve_exact_v2025_species_concept",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
