"analysis_taxon_id","common_name","scientific_name","ebird_taxon_code","taxonomy_version","exact_species_concept_reconciled","frozen_taxonomy_disposition","frozen_named_disposition","frozen_guild_disposition","frozen_community_disposition","frozen_count_disposition","denominator_included","denominator_inclusion_basis","registry_approval_status","source_taxon_concept_id","source_category","source_common_name","source_scientific_name","source_mapping_treatment","source_mapping_decision","production_ambiguity_mask_rules"
"atx_04afbeb21fb0","Hooded Merganser","Lophodytes cucullatus","hoomer","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-60E6081E","species","Hooded Merganser","Lophodytes cucullatus","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_04cf65098f13","Red-throated Loon","Gavia stellata","retloo","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-6C50988A","species","Red-throated Loon","Gavia stellata","candidate_identity","approved_current_species_identity","0"
"atx_08bb40b40c0a","Ring-billed Gull","Larus delawarensis","ribgul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-23863F65","species","Ring-billed Gull","Larus delawarensis","candidate_identity","approved_current_species_identity","0"
"atx_1328b44be502","Black Scoter","Melanitta americana","blksco2","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-B7B1A5DD","species","Black Scoter","Melanitta americana","candidate_identity","approved_current_species_identity","1"
"atx_136b0e66254b","Common Murre","Uria aalge","commur","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-39F29B55","species","Common Murre","Uria aalge","candidate_identity","approved_current_species_identity","1"
"atx_15dd5efcd8d6","Black Turnstone","Arenaria melanocephala","blktur","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-0413ED30","species","Black Turnstone","Arenaria melanocephala","candidate_identity","approved_current_species_identity","0"
"atx_1812dd827ede","Surfbird","Calidris virgata","surfbi","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-11CF8C9A","species","Surfbird","Calidris virgata","candidate_identity","approved_current_species_identity","0"
"atx_1930f23cc4f8","Surf Scoter","Melanitta perspicillata","sursco","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-624078BA","species","Surf Scoter","Melanitta perspicillata","candidate_identity","approved_current_species_identity","1"
"atx_3083477933a8","White-winged Scoter","Melanitta deglandi","whwsco2","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-4800D6B6","species","White-winged Scoter","Melanitta deglandi","candidate_identity","approved_current_species_identity","1"
"atx_35518e24dfdd","Common Merganser","Mergus merganser","commer","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-407E2CA8","species","Common Merganser","Mergus merganser","candidate_identity","approved_current_species_identity","1"
"atx_35707a9578d5","Pelagic Cormorant","Urile pelagicus","pelcor","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-A429B5B8","species","Pelagic Cormorant","Urile pelagicus","candidate_identity","approved_current_species_identity","0"
"atx_3c2dd2107fbb","Clark's Grebe","Aechmophorus clarkii","clagre","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","retain_registry_sparse_not_named","retain_with_partial_pooling_support_warning","retain_registry_not_in_reduced_set","detection_component_only_or_bounded_sensitivity","TRUE","frozen_stage2_retained_taxon","frozen_stage2_retained","avibase-D05FFEF7","species","Clark's Grebe","Aechmophorus clarkii","candidate_identity","approve_exact_v2025_species_concept","0"
"atx_40f730f5ad72","Long-tailed Duck","Clangula hyemalis","lotduc","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-AF0C7BDE","species","Long-tailed Duck","Clangula hyemalis","candidate_identity","approved_current_species_identity","0"
"atx_4ae57d328ec6","Greater Scaup","Aythya marila","gresca","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-25C94A8F","species","Greater Scaup","Aythya marila","candidate_identity","approved_current_species_identity","1"
"atx_59441ff7abde","Brant","Branta bernicla","brant","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-3E04020B","species","Brant","Branta bernicla","candidate_identity","approved_current_species_identity","1"
"atx_5a9a3495d0ea","Western Gull","Larus occidentalis","wesgul","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-575A3E3B","species","Western Gull","Larus occidentalis","candidate_identity","approved_current_species_identity","1"
"atx_6b4cfd1ab927","Horned Grebe","Podiceps auritus","horgre","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-018B3169","species","Horned Grebe","Podiceps auritus","candidate_identity","approved_current_species_identity","1"
"atx_6cbe5bbd310c","Rhinoceros Auklet","Cerorhinca monocerata","rhiauk","eBird Taxonomy v2025","TRUE","approve_exact_v2025_species_concept","named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","TRUE","frozen_stage2_retained_taxon","provisional_design","avibase-53D94597","species","Rhinoceros Auklet","Cerorhinca monocerata","candidate_identity","approved_current_species_identity","0"
