effort_frame,period_id,start_year,end_year,independent_eligible_events,retained_percentage_of_broad,source_point_linked_events,usable_herring_source_events,unique_observer_clusters,unique_generalized_locations,maximum_observer_share,maximum_location_share,effective_observer_replication,effective_location_replication,stationary_events,traveling_events,start_time_available_percentage,duration_q50,duration_q90,travel_distance_q50,travel_distance_q90,observer_number_q50,observer_number_q90
high_spatial_precision,complete_1988_2025,1988,2025,1158032,73.3,193720,3446,145551,125789,0.014,0.01,505.003,1061.394,492558,665474,100.0,30,97,0.91,1.931,1,2
high_spatial_precision,start_2005,2005,2025,1150546,73.3,193250,2797,145260,124830,0.014,0.01,505.818,1058.721,488402,662144,100.0,30,97,0.904,1.929,1,2
high_spatial_precision,start_2010,2010,2025,1137945,73.3,192097,2442,144597,122270,0.014,0.01,507.408,1053.954,480879,657066,100.0,30,96,0.9,1.92,1,2
high_spatial_precision,start_2015,2015,2025,1056194,73.4,187192,1924,136937,111731,0.013,0.01,535.669,1109.884,435003,621191,100.0,30,95,0.873,1.891,1,2
candidate_primary,complete_1988_2025,1988,2025,1433786,90.8,239934,3609,183393,144683,0.012,0.009,581.906,974.83,492558,941228,100.0,40,120,1.286,3.505,1,2
candidate_primary,start_2005,2005,2025,1424362,90.8,239374,2901,183030,143586,0.012,0.009,583.055,976.758,488402,935960,100.0,40,120,1.277,3.5,1,2
candidate_primary,start_2010,2010,2025,1408206,90.8,238023,2531,182180,140863,0.012,0.009,585.982,976.771,480879,927327,100.0,40,120,1.262,3.5,1,2
candidate_primary,start_2015,2015,2025,1306145,90.8,232171,1998,173049,129194,0.011,0.009,623.148,1032.305,435003,871142,100.0,40,120,1.226,3.5,1,2
registered_broad,complete_1988_2025,1988,2025,1579856,100.0,261494,3759,204532,166765,0.011,0.009,599.089,1046.608,542824,1037032,100.0,40,122,1.497,4.573,1,2
registered_broad,start_2005,2005,2025,1569358,100.0,260903,3017,204103,165481,0.011,0.009,600.273,1049.135,538522,1030836,100.0,40,121,1.484,4.547,1,2
registered_broad,start_2010,2010,2025,1551600,100.0,259439,2636,203088,162628,0.011,0.008,603.131,1049.52,530566,1021034,100.0,40,121,1.466,4.52,1,2
registered_broad,start_2015,2015,2025,1438222,100.0,252856,2097,193037,149709,0.01,0.008,640.394,1108.349,481694,956528,100.0,40,120,1.4,4.47,1,2
