scope,item,period_id,metric_1,metric_2,recommendation,evidence
effort_frame,candidate_primary,complete_1988_2025,90.8,0,retain as primary,retention_vs_broad_percent;regions_with_sustained_primary_support
effort_frame,high_spatial_precision,complete_1988_2025,80.8,0,retain as targeted sensitivity,retention_vs_primary_percent;regions_with_sustained_high_precision_support
effort_frame,registered_broad,complete_1988_2025,146070,72214,retain as targeted sensitivity,events_added_beyond_primary;added_events_with_travel_distance_over_5km;restored_region_periods=0
scientific_question,redistribution_reference_feasibility,complete_1988_2025,4,0,retain as primary,primary-frame regions with contemporaneous active and no-near-active reference support
effort_frame,candidate_primary,start_2005,90.8,1,retain as primary,retention_vs_broad_percent;regions_with_sustained_primary_support
effort_frame,high_spatial_precision,start_2005,80.8,1,retain as targeted sensitivity,retention_vs_primary_percent;regions_with_sustained_high_precision_support
effort_frame,registered_broad,start_2005,144996,71448,retain as targeted sensitivity,events_added_beyond_primary;added_events_with_travel_distance_over_5km;restored_region_periods=0
scientific_question,redistribution_reference_feasibility,start_2005,4,1,retain as primary,primary-frame regions with contemporaneous active and no-near-active reference support
effort_frame,candidate_primary,start_2010,90.8,1,retain as primary,retention_vs_broad_percent;regions_with_sustained_primary_support
effort_frame,high_spatial_precision,start_2010,80.8,1,retain as targeted sensitivity,retention_vs_primary_percent;regions_with_sustained_high_precision_support
effort_frame,registered_broad,start_2010,143394,70435,retain as targeted sensitivity,events_added_beyond_primary;added_events_with_travel_distance_over_5km;restored_region_periods=0
scientific_question,redistribution_reference_feasibility,start_2010,4,1,retain as primary,primary-frame regions with contemporaneous active and no-near-active reference support
effort_frame,candidate_primary,start_2015,90.8,2,retain as primary,retention_vs_broad_percent;regions_with_sustained_primary_support
effort_frame,high_spatial_precision,start_2015,80.9,2,retain as targeted sensitivity,retention_vs_primary_percent;regions_with_sustained_high_precision_support
effort_frame,registered_broad,start_2015,132077,63960,retain as targeted sensitivity,events_added_beyond_primary;added_events_with_travel_distance_over_5km;restored_region_periods=0
scientific_question,redistribution_reference_feasibility,start_2015,4,2,retain as primary,primary-frame regions with contemporaneous active and no-near-active reference support
region_period,A27,complete_1988_2025,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=38;redistribution_feasible=false
region_period,A27,start_2005,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=21;redistribution_feasible=false
region_period,A27,start_2010,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=16;redistribution_feasible=false
region_period,A27,start_2015,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=false
region_period,A2W,complete_1988_2025,0,0,unsupported,adequate_years;passing_year_share;maximum_failing_run=38;redistribution_feasible=false
region_period,A2W,start_2005,0,0,unsupported,adequate_years;passing_year_share;maximum_failing_run=21;redistribution_feasible=false
region_period,A2W,start_2010,0,0,unsupported,adequate_years;passing_year_share;maximum_failing_run=16;redistribution_feasible=false
region_period,A2W,start_2015,0,0,unsupported,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=false
region_period,CC,complete_1988_2025,5,0.132,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=28;redistribution_feasible=true
region_period,CC,start_2005,5,0.238,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=true
region_period,CC,start_2010,5,0.313,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=6;redistribution_feasible=true
region_period,CC,start_2015,5,0.455,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=5;redistribution_feasible=true
region_period,HG,complete_1988_2025,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=38;redistribution_feasible=false
region_period,HG,start_2005,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=21;redistribution_feasible=false
region_period,HG,start_2010,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=16;redistribution_feasible=false
region_period,HG,start_2015,0,0,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=11;redistribution_feasible=false
region_period,NA,complete_1988_2025,6,0.158,descriptive/hierarchical only,adequate_years;passing_year_share;maximum_failing_run=28;redistribution_feasible=true
