"pooling_family_id_v2","component_count","pooling_axis_count","canonical_model_id_unique_n","model_architecture_unique_n","component_estimand_id_unique_n","response_state_unique_n","unit_class_unique_n","effect_scale_unique_n","exposure_definition_unique_n","temporal_window_unique_n","spatial_buffer_unique_n","analysis_population_unique_n","adjustment_set_unique_n","component_role_unique_n","coefficient_meaning_unique_n","variance_meaning_unique_n","compatibility_status","estimability_status"
"pf2_014e32cc75613e964bccf940",186,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_015a9c3cdecf168cb167287f",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_023d2df03e5b28a02b7bc882",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_04580414929984be28e94b19",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0550e7309fdc7112449ff585",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0645c7d1242fdad1c43af59b",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_09fa5f08ca9b9221d529eeb6",245,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0bdfe4f2895698685dec17c5",245,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0bf7f854b0241d9d7e9cce17",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0c43b34c92c9d357271c4c73",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_0e46a79baf4a1d390075cc15",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_116f1742ffece8f0354cce09",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_11a346bf6983871e6efdffb7",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_11eec9a5d2b25927915a96bc",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_13b175cee92773925d0b5d7e",37,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_13dbdf27d4f9b30359c872b0",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_14b77668b36fcb5b883340d2",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_14be15f4b664377ae7f15f84",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_176e567f26499122540dc51f",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_18e8792fef6590de61d3a747",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_19b881da356f16e13733bf10",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_1b38716752eeaead99223fb8",38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_1d8717f687879a65296448c8",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_22b68febbb83c1b320fa3fa7",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_22ef33bc4f98e4ed0be3e6cb",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_248c5dfa49212c3863ab6809",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_2528e021f2372b8b1771c83a",38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_2ca064e26141c30bca25f6e5",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_2cac3bf0cb6224729fa8d53e",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_2f067f150944351215dcccee",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_2f626e359979c71cef767b41",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_31248e373a92634d6676c6c3",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_315560806f499b6ab8dad622",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_35d72b1983a7a1c3b64139ce",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_3620b62ee87e254eecff21d1",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_36e1bff0b90bbf366a916df1",245,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_38000bc4eff0e700c84ed823",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_38658003becfe61d526b3aa0",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_3905a97b179dceb853c21f09",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_39e1022bdf10cddcaee2ceef",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_3ad47b92ddd587d639f854a9",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
