"duplicate_group_id","pooling_family_id_v2","selected_v1_effect_row_id","selected_representation","excluded_v1_effect_row_id","excluded_representation","unit_class","response_state","reason_code","source_metadata"
"ce2_00568a1b7eee9838d2ab7430","pf2_91a7602799863c6b7e560c5a","v1r_4c6f4db6c01d528a361dad5a","M02","v1r_5034df0d4202ad33ddeea916","M11","species","detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_005e4addfce57266f693d1f7","pf2_9998fb16c88151e769fb6161","v1r_54aa3e8fed4ebc41435d5b48","M02","v1r_90b4f8f7f273700305fb47e4","M11","species","detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_0143afdba6cbca5bbfba3d8e","pf2_ad640f92d3d5c42f74654e10","v1r_c03a7bb0054f6c8ab347b439","M02","v1r_b91be6cbffeba6608190e249","M12","species","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_019cd1ee1e5c239e31fd7f69","pf2_14b77668b36fcb5b883340d2","v1r_3294208f878167de2a4b0196","M02","v1r_b81decf23d4e1faeb6ae6178","M12","species","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_024350bec29a8a53da8f3987","pf2_71285c1018ad6c55259be692","v1r_f5a6838045e0a6a6b744a97a","M01","v1r_2982d3dce23dfbdb4f6afcda","M12","guild","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_02fc91c890af80c7fb6762c2","pf2_76670464fe37ed823d25ed17","v1r_3515b767750dfe3e078be22b","M01","v1r_b852c0e4312219a27a379bd5","M11","guild","detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_038da7f38c32520eb4bb3078","pf2_a6b60279eee5b2a71ffab23c","v1r_2ca147ae61d598af30044f7c","M01","v1r_61903015e67660b06d4fada7","M11","guild","detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_03e222070fba2333f1149949","pf2_ad640f92d3d5c42f74654e10","v1r_61c591d284926c44fd0f0b07","M02","v1r_86c50eea196b258c43d829b8","M12","species","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_040ecce29be0894779380764","pf2_14b77668b36fcb5b883340d2","v1r_3d25c4a5ea8cfacf1d4427eb","M02","v1r_4af73cb4058e1eef8b34aea3","M12","species","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
"ce2_0531523b3378457ad50be87d","pf2_ad640f92d3d5c42f74654e10","v1r_98061a782caeedab0b735aaf","M02","v1r_40806ba4f5f1ebf31f14b835","M12","species","positive_numeric_count_given_detection","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","R/stage4a_production.R;docs/14_STAGE4A_CORE_METHODS.md"
