"v1_effect_row_id","pooling_family_id_v2","component_evidence_id","model_id","canonical_model_id","included_in_future_estimator","disposition_reason_code","numeric_input_reason_code"
"v1r_001806505e2f9fdfd0e4ab81","pf2_b44984f7fd9719c3da33c58d","ce2_f830de7218ba891921e39d27","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_0018d3728ff0657ef68b5bf2","pf2_78405cc1c62824e523c93fbf","ce2_0a61b1b8196f5c5c27ccddfc","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_002d1a2b86b4899b464e4c6b","pf2_c415098f6f092326d86b4aa9","ce2_f8e9b8d12d1d8ae46fcdc4c7","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_003b5f04cb8d0eda0ec6ee48","pf2_b1169eb051ee8f774a8b120a","ce2_69bf15b955a5543f36898bcf","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_003e12a63a98154165afe014","pf2_b1169eb051ee8f774a8b120a","ce2_beb6b21acf596cd7b2dafc2e","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_0044c58101286f25322e34a5","pf2_015a9c3cdecf168cb167287f","ce2_218c542bbd0d56f43a731185","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_005245c0bc426cef771cfccf","pf2_e2b001e4dc833b785d92a998","ce2_bb3e2b289849fabb9e0b05fb","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_0055e48c86f8f6857bfc4edc","pf2_ad640f92d3d5c42f74654e10","ce2_72cc271f354a4d01bb266503","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_00575245c6882b3b87541288","pf2_9998fb16c88151e769fb6161","ce2_4a0232c3b2b2baaf9fcb030c","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_0060f0f9b118c3a18aeda735","pf2_83de5c75cd8e3eed9c391625","ce2_a5622e0f8691a4a55fb450c5","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_007060ddcd8759c954671a49","pf2_36e1bff0b90bbf366a916df1","ce2_19532882e905c5a7a28f60e7","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_0077667d201243e86c131c89","pf2_36e1bff0b90bbf366a916df1","ce2_9e15db1d77d1aea3a8f0418b","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_007d056980e64940034a9591","pf2_767e79249393e839d9193f96","ce2_e28d8eb280f57acebf624778","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_007d2989989a449704e99cca","pf2_8f08065cb779fadd37dc476c","ce2_b806d53ff0a712c416447fed","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_008fff4fd45a4d21b536723b","pf2_625ea416a9f5b375e7c490da","ce2_d5e64f8426228ef0af7f92de","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_009975782b5017871ba83cdc","pf2_36e1bff0b90bbf366a916df1","ce2_ee72f3ad64e0fb5029cf7214","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_00a213f65c115c496a671bec","pf2_22b68febbb83c1b320fa3fa7","ce2_5f77bfb3e854b3c0c9dc78a5","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_00a80d183013596f30705a57","pf2_e2b001e4dc833b785d92a998","ce2_6e98afd62aa780311ea6132c","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
