"model_id","region","unit_label","unit_class","outcome","contrast","estimate","standard_error","conf_low","conf_high","p_value","n","status","multiplicity_family","q_value","pooling_family_id_v2","component_evidence_id","partial_pool_estimate_v2","partial_pool_standard_error_v2","partial_pool_conf_low_v2","partial_pool_conf_high_v2","pooling_reason_code_v2"
"M01","SoG","alcid_piscivore","guild","detection","active_near",-0.218486692643875,0.0577487595254672,-0.331674261313791,-0.105299123973959,0.000154700109409361,217200,"completed","M01_SoG_detection",0.000176800125039269,"pf2_df14c9fa337c3ca440d9017d","ce2_dee71d3597c0a8641a1a0b71",-0.199159843940893,0.056585272162533,-0.310064939434855,-0.0882547484469317,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","falsification","guild","detection","active_near",0.419808807994757,0.0405357296577674,0.340358777865532,0.499258838123981,3.90956062623366e-25,217200,"completed","M01_SoG_detection",6.25529700197386e-25,"pf2_df14c9fa337c3ca440d9017d","ce2_6dbace3967e4fdda81089d15",0.416724087221058,0.0401271062533097,0.338076404160759,0.495371770281357,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","gull_roe","guild","detection","active_near",0.5928154869605,0.0245025708779913,0.544790448039637,0.640840525881363,2.57224182707033e-129,217055,"completed","M01_SoG_detection",2.05779346165627e-128,"pf2_df14c9fa337c3ca440d9017d","ce2_f06f9d2629c3640e60948dc1",0.590389467446257,0.0244114491128418,0.542543906374655,0.638235028517859,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","intertidal_roe_shorebird","guild","detection","active_near",-0.0903754942399086,0.0409955749624744,-0.170726821166358,-0.0100241673134588,0.0274879160968532,217200,"completed","M01_SoG_detection",0.0274879160968532,"pf2_df14c9fa337c3ca440d9017d","ce2_5f008f38595742f538499076",-0.0830663765058356,0.0405730319778512,-0.162588057926016,-0.00354469508565532,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","piscivore_active_spawn","guild","detection","active_near",0.180555520412923,0.0251597463905863,0.131242417487374,0.229868623338472,7.1589335130032e-13,217160,"completed","M01_SoG_detection",9.54524468400427e-13,"pf2_df14c9fa337c3ca440d9017d","ce2_2bf2712998aa5a935ede13f3",0.181224303180808,0.0250611242485569,0.132105402241553,0.230343204120063,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","roe_diving_seaduck","guild","detection","active_near",0.48351828591264,0.0253247807956997,0.433881715553069,0.533154856272212,2.9040084564275e-81,216912,"completed","M01_SoG_detection",1.161603382571e-80,"pf2_df14c9fa337c3ca440d9017d","ce2_b8d837ff235126d0d8a4fd27",0.481794373474403,0.0252242129437096,0.432355824566363,0.531232922382442,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","shoreline_scavenger","guild","detection","active_near",0.34002229947755,0.0324107720322305,0.276497186294379,0.403547412660722,9.49897556759407e-26,217200,"completed","M01_SoG_detection",1.89979511351881e-25,"pf2_df14c9fa337c3ca440d9017d","ce2_b7ea3ad1250614f6595672b0",0.3390665128391,0.0322007591232723,0.275954184682636,0.402178840995563,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","surface_vegetation_roe","guild","detection","active_near",0.40236692637664,0.0255002984301209,0.352386341453603,0.452347511299677,4.34625494771994e-56,217162,"completed","M01_SoG_detection",1.15900131939198e-55,"pf2_df14c9fa337c3ca440d9017d","ce2_4f197b15bbae2b692c1b29c8",0.401271347845605,0.0253976335403895,0.351492900813895,0.451049794877315,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","alcid_piscivore","guild","positive_count","active_near",-0.378785018770327,0.0708931272893493,-0.517735548257452,-0.239834489283202,9.34812090110574e-08,9690,"completed","M01_SoG_positive_count",1.24641612014743e-07,"pf2_71285c1018ad6c55259be692","ce2_834e29dfca3bdeb7986b9c5a",-0.341534448117729,0.0684874043102796,-0.47576729396051,-0.207301602274947,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","falsification","guild","positive_count","active_near",0.461407766014585,0.0499012662206603,0.363601284222091,0.559214247807079,2.56274011798051e-20,18897,"completed","M01_SoG_positive_count",6.83397364794803e-20,"pf2_71285c1018ad6c55259be692","ce2_aaca110fa027084b97b50bf4",0.451765976069108,0.049040333751012,0.355648688127301,0.547883264010916,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","gull_roe","guild","positive_count","active_near",0.18443375907201,0.0239186359338642,0.137553232641636,0.231314285502384,1.26238098390279e-14,89188,"completed","M01_SoG_positive_count",2.01980957424446e-14,"pf2_71285c1018ad6c55259be692","ce2_a25b8c6ab54b7932bf6b69fa",0.18439432374118,0.0238219069640887,0.137704244048502,0.231084403433858,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","intertidal_roe_shorebird","guild","positive_count","active_near",0.148684969083707,0.0639049202247164,0.023431325443263,0.273938612724151,0.0199936496888243,19450,"completed","M01_SoG_positive_count",0.0228498853586564,"pf2_71285c1018ad6c55259be692","ce2_324ba890efbe16f538ff3ae3",0.150379331121329,0.0621260005921446,0.0286146074572117,0.272144054785447,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","piscivore_active_spawn","guild","positive_count","active_near",0.0308969230807105,0.0223591142705899,-0.0129269408896458,0.0747207870510667,0.167022186062406,74198,"completed","M01_SoG_positive_count",0.167022186062406,"pf2_71285c1018ad6c55259be692","ce2_024350bec29a8a53da8f3987",0.0319465103789871,0.022280038547222,-0.0117215627477321,0.0756145835057064,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","roe_diving_seaduck","guild","positive_count","active_near",0.222148768694138,0.0277749670565602,0.16770983326328,0.276587704124996,1.28346682933951e-15,65201,"completed","M01_SoG_positive_count",2.56693365867902e-15,"pf2_71285c1018ad6c55259be692","ce2_c5886b229f07a807e0bf4ec2",0.221686386595918,0.0276238225281328,0.167544689325451,0.275828083866384,"INCLUDED_PRIMARY_REPRESENTATION"
"M01","SoG","shoreline_scavenger","guild","positive_count","active_near",0.280852778558718,0.0133667974265875,0.254653855602606,0.307051701514829,6.92375521875029e-98,168234,"completed","M01_SoG_positive_count",5.53900417500023e-97,"pf2_71285c1018ad6c55259be692","ce2_54dbc971272e0b9cc2c1d51e",0.280595975880962,0.0133498445527498,0.254430761358364,0.30676119040356,"INCLUDED_PRIMARY_REPRESENTATION"
