"model_version_id","region","unit_label","outcome","converged","singular_fit","convergence_message","status"
"M01_PRIMARY_v2","SoG","alcid_piscivore","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","falsification","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","gull_roe","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","intertidal_roe_shorebird","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","piscivore_active_spawn","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","roe_diving_seaduck","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","shoreline_scavenger","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","surface_vegetation_roe","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","alcid_piscivore","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","falsification","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","intertidal_roe_shorebird","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","piscivore_active_spawn","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","roe_diving_seaduck","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","SoG","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","alcid_piscivore","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","falsification","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","gull_roe","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","intertidal_roe_shorebird","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","piscivore_active_spawn","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","roe_diving_seaduck","detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","shoreline_scavenger","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","surface_vegetation_roe","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","alcid_piscivore","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","falsification","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"M01_PRIMARY_v2","WCVI","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","intertidal_roe_shorebird","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","piscivore_active_spawn","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","roe_diving_seaduck","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M01_PRIMARY_v2","WCVI","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","alcid_piscivore","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","falsification","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","gull_roe","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","intertidal_roe_shorebird","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","piscivore_active_spawn","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","roe_diving_seaduck","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","shoreline_scavenger","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","surface_vegetation_roe","detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","alcid_piscivore","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","falsification","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","intertidal_roe_shorebird","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","piscivore_active_spawn","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","roe_diving_seaduck","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","SoG","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M27_v2","WCVI","alcid_piscivore","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","falsification","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","gull_roe","detection",TRUE,FALSE,"","completed"
"M27_v2","WCVI","intertidal_roe_shorebird","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","piscivore_active_spawn","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","roe_diving_seaduck","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","shoreline_scavenger","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","surface_vegetation_roe","detection",TRUE,TRUE,"","completed_with_singular_warning"
"M27_v2","WCVI","alcid_piscivore","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"M27_v2","WCVI","falsification","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"M27_v2","WCVI","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
