"model_version_id","region","outcome","status","converged","singular_fit","components"
"M01_PRIMARY_v2","SoG","detection","completed",TRUE,FALSE,8
"M01_PRIMARY_v2","SoG","positive_numeric_count_given_detection","completed",TRUE,FALSE,8
"M01_PRIMARY_v2","WCVI","detection","completed",TRUE,FALSE,3
"M01_PRIMARY_v2","WCVI","detection","completed_with_singular_warning",TRUE,TRUE,5
"M01_PRIMARY_v2","WCVI","positive_numeric_count_given_detection","completed",TRUE,FALSE,7
"M01_PRIMARY_v2","WCVI","positive_numeric_count_given_detection","completed_with_singular_warning",TRUE,TRUE,1
"M27_v2","SoG","detection","completed",TRUE,FALSE,8
"M27_v2","SoG","positive_numeric_count_given_detection","completed",TRUE,FALSE,8
"M27_v2","WCVI","detection","completed",TRUE,FALSE,1
"M27_v2","WCVI","detection","completed_with_singular_warning",TRUE,TRUE,7
"M27_v2","WCVI","positive_numeric_count_given_detection","completed",TRUE,FALSE,5
"M27_v2","WCVI","positive_numeric_count_given_detection","completed_with_singular_warning",TRUE,TRUE,3
"M28_v2","SoG","detection","completed",TRUE,FALSE,8
"M28_v2","SoG","positive_numeric_count_given_detection","completed",TRUE,FALSE,8
"M28_v2","WCVI","detection","completed",TRUE,FALSE,1
"M28_v2","WCVI","detection","completed_with_singular_warning",TRUE,TRUE,7
"M28_v2","WCVI","positive_numeric_count_given_detection","completed",TRUE,FALSE,5
"M28_v2","WCVI","positive_numeric_count_given_detection","completed_with_singular_warning",TRUE,TRUE,3
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","detection","completed",TRUE,FALSE,1
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","detection","completed_with_singular_warning",TRUE,TRUE,7
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","positive_numeric_count_given_detection","completed",TRUE,FALSE,6
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","positive_numeric_count_given_detection","completed_with_singular_warning",TRUE,TRUE,2
"S4A12_WCVI_2KM_v2","WCVI","detection","completed",TRUE,FALSE,1
"S4A12_WCVI_2KM_v2","WCVI","detection","completed_with_singular_warning",TRUE,TRUE,7
"S4A12_WCVI_2KM_v2","WCVI","positive_numeric_count_given_detection","completed",TRUE,FALSE,7
"S4A12_WCVI_2KM_v2","WCVI","positive_numeric_count_given_detection","completed_with_singular_warning",TRUE,TRUE,1
