"model_id","stage4a_disposition","stage4a_role","analysis_status"
"M01","activated_core","core_biological_analysis","completed_with_visible_component_failures"
"M02","activated_core","core_biological_analysis","completed_with_visible_component_failures"
"M03","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M04","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M05","activated_core","core_biological_analysis","completed"
"M06","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M07","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M08","activated_core","core_biological_analysis","completed"
"M09","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M10","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M11","activated_component","hurdle_component_not_independent_evidence","completed_with_visible_component_failures"
"M12","activated_component","hurdle_component_not_independent_evidence","completed_with_visible_component_failures"
"M13","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M14","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M15","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M16","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M17","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M18","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M19","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M20","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M21","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M22","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M23","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M24","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M25","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M26","activated_diagnostic","observation_process_diagnostic","completed"
"M27","activated_diagnostic","placebo_diagnostic","completed"
"M28","activated_diagnostic","placebo_diagnostic","completed"
"M29","activated_diagnostic","specificity_falsification_panel","completed"
"M30","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M31","prospective_locked","future_confirmation","not_fitted_prospective_locked"
"M32","activated_diagnostic","count_state_diagnostic","completed"
"M33","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M34","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M35","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M36","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M37","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M38","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M39","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M40","activated_diagnostic","observation_process_diagnostic","completed"
"M41","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M42","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M43","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M44","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
"M45","deferred_pre_response","deferred","not_fitted_deferred_pre_response"
