"model_id","region","unit_class","outcome","fold","validation_view","prediction_support_rule","n_validation","n_validation_supported","n_validation_unsupported_factor_levels","privacy_suppressed","metric_1_name","metric_1","metric_2_name","metric_2","conditional_observer_or_location_BLUP_used"
"M02","SoG","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",46083,46083,0,FALSE,"log_loss",0.289555778919688,"brier",0.080386776823421,FALSE
"M02","SoG","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",55725,55476,249,FALSE,"log_loss",0.305014976777883,"brier",0.0865617038411667,FALSE
"M02","SoG","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",57050,57050,0,FALSE,"log_loss",0.308748156745288,"brier",0.0866545470408006,FALSE
"M02","SoG","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",58342,57214,1128,FALSE,"log_loss",0.270155537235619,"brier",0.0744325824478048,FALSE
"M02","SoG","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",4252,4252,0,FALSE,"rmse_log",0.721341799827954,"mae_log",0.583548173872284,FALSE
"M02","SoG","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",5544,5535,9,FALSE,"rmse_log",0.726014894347515,"mae_log",0.588056232565867,FALSE
"M02","SoG","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",5628,5628,0,FALSE,"rmse_log",0.758226923385627,"mae_log",0.606823546162665,FALSE
"M02","SoG","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",4916,4831,85,FALSE,"rmse_log",0.72360076138443,"mae_log",0.596564763528034,FALSE
"M02","WCVI","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2164,1943,221,FALSE,"log_loss",0.23441880951364,"brier",0.0585144125691691,FALSE
"M02","WCVI","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1795,1795,0,FALSE,"log_loss",0.217135864588188,"brier",0.0560217148244292,FALSE
"M02","WCVI","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2462,2313,149,FALSE,"log_loss",2.09099957885176,"brier",0.180628784561802,FALSE
