"model_id","region","diagnostic","estimate","standard_error","p_value","n","status"
"M01","SoG","high_precision_2km_alcid_piscivore",0.0228219396163837,0.0434677859611086,0.599561569217371,175311,"completed"
"M01","WCVI","high_precision_2km_alcid_piscivore",0.480437402535002,0.113551253227723,2.32635996116478e-05,7198,"completed"
"M01","SoG","high_precision_2km_falsification",0.177672485789001,0.0351944941154129,4.45750759019324e-07,175311,"completed"
"M01","WCVI","high_precision_2km_falsification",0.0560117184175367,0.214608425881802,0.79409639073995,7198,"completed"
"M01","SoG","high_precision_2km_gull_roe",0.433323764072966,0.0189114494636595,3.42379018966314e-116,175200,"completed"
"M01","WCVI","high_precision_2km_gull_roe",0.388094022408442,0.0852643933535931,5.32258009249245e-06,7190,"completed"
"M01","SoG","high_precision_2km_intertidal_roe_shorebird",0.285828008831695,0.0293613175083597,2.14134308688618e-22,175311,"completed"
"M01","WCVI","high_precision_2km_intertidal_roe_shorebird",-0.142158821805064,0.0932044328311233,0.127200069154927,7198,"completed"
"M01","SoG","high_precision_2km_piscivore_active_spawn",0.367086162981735,0.0197640514061508,5.27278365631405e-77,175277,"completed"
"M01","WCVI","high_precision_2km_piscivore_active_spawn",0.893475687081099,0.0887864451573965,8.03441508242407e-24,7194,"completed"
"M01","SoG","high_precision_2km_roe_diving_seaduck",0.657895502151305,0.0196962851723543,1.28190280474996e-244,175101,"completed"
"M01","WCVI","high_precision_2km_roe_diving_seaduck",1.10712345446826,0.0881459344741454,3.49804852890685e-36,7189,"completed"
"M01","SoG","high_precision_2km_shoreline_scavenger",0.294155593710913,0.0245940544699531,5.72610595430804e-33,175311,"completed"
"M01","WCVI","high_precision_2km_shoreline_scavenger",0.585856308439441,0.121405853421158,1.39581124173476e-06,7198,"completed"
"M01","SoG","high_precision_2km_surface_vegetation_roe",0.492260677504818,0.019865177010384,1.4701277182113e-135,175277,"completed"
"M01","WCVI","high_precision_2km_surface_vegetation_roe",1.06716394539302,0.094633555781556,1.70842731110406e-29,7198,"completed"
