"model_id","region","unit_label","outcome","converged","rank_deficient","status"
"M02","SoG","Hooded Merganser","detection",TRUE,FALSE,"completed"
"M02","SoG","Hooded Merganser","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Hooded Merganser","detection",TRUE,FALSE,"completed"
"M02","WCVI","Hooded Merganser","positive_count",TRUE,FALSE,"completed"
"M02","CC","Hooded Merganser","detection",TRUE,FALSE,"completed"
"M02","CC","Hooded Merganser","positive_count",TRUE,TRUE,"completed"
"M02","NA","Hooded Merganser","detection",TRUE,FALSE,"completed"
"M02","NA","Hooded Merganser","positive_count",TRUE,FALSE,"completed"
"M02","SoG","Red-throated Loon","detection",TRUE,FALSE,"completed"
"M02","SoG","Red-throated Loon","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Red-throated Loon","detection",TRUE,FALSE,"completed"
"M02","WCVI","Red-throated Loon","positive_count",TRUE,FALSE,"completed"
"M02","CC","Red-throated Loon","detection",TRUE,FALSE,"completed"
"M02","CC","Red-throated Loon","positive_count",TRUE,FALSE,"completed"
"M02","NA","Red-throated Loon","detection",TRUE,FALSE,"completed"
"M02","NA","Red-throated Loon","positive_count",TRUE,TRUE,"completed"
"M02","SoG","Ring-billed Gull","detection",TRUE,FALSE,"completed"
"M02","SoG","Ring-billed Gull","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Ring-billed Gull","detection",TRUE,FALSE,"completed"
"M02","WCVI","Ring-billed Gull","positive_count",TRUE,FALSE,"completed"
"M02","CC","Ring-billed Gull","detection",TRUE,FALSE,"completed"
"M02","CC","Ring-billed Gull","positive_count",FALSE,,"failed_insufficient_support"
"M02","NA","Ring-billed Gull","detection",TRUE,FALSE,"completed"
"M02","NA","Ring-billed Gull","positive_count",TRUE,TRUE,"completed"
"M02","SoG","Black Scoter","detection",TRUE,FALSE,"completed"
"M02","SoG","Black Scoter","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Black Scoter","detection",TRUE,FALSE,"completed"
"M02","WCVI","Black Scoter","positive_count",TRUE,FALSE,"completed"
"M02","CC","Black Scoter","detection",TRUE,FALSE,"completed"
"M02","CC","Black Scoter","positive_count",FALSE,,"failed_insufficient_support"
"M02","NA","Black Scoter","detection",TRUE,FALSE,"completed"
"M02","NA","Black Scoter","positive_count",TRUE,TRUE,"completed"
"M02","SoG","Common Murre","detection",TRUE,FALSE,"completed"
"M02","SoG","Common Murre","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Common Murre","detection",TRUE,FALSE,"completed"
"M02","WCVI","Common Murre","positive_count",TRUE,FALSE,"completed"
"M02","CC","Common Murre","detection",TRUE,FALSE,"completed"
"M02","CC","Common Murre","positive_count",TRUE,TRUE,"completed"
"M02","NA","Common Murre","detection",TRUE,FALSE,"completed"
"M02","NA","Common Murre","positive_count",TRUE,FALSE,"completed"
"M02","SoG","Black Turnstone","detection",TRUE,FALSE,"completed"
"M02","SoG","Black Turnstone","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Black Turnstone","detection",TRUE,FALSE,"completed"
"M02","WCVI","Black Turnstone","positive_count",TRUE,FALSE,"completed"
"M02","CC","Black Turnstone","detection",TRUE,FALSE,"completed"
"M02","CC","Black Turnstone","positive_count",TRUE,FALSE,"completed"
"M02","NA","Black Turnstone","detection",TRUE,FALSE,"completed"
"M02","NA","Black Turnstone","positive_count",TRUE,FALSE,"completed"
"M02","SoG","Surfbird","detection",TRUE,FALSE,"completed"
"M02","SoG","Surfbird","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Surfbird","detection",TRUE,FALSE,"completed"
"M02","WCVI","Surfbird","positive_count",TRUE,FALSE,"completed"
"M02","CC","Surfbird","detection",TRUE,FALSE,"completed"
"M02","CC","Surfbird","positive_count",TRUE,TRUE,"completed"
"M02","NA","Surfbird","detection",TRUE,FALSE,"completed"
"M02","NA","Surfbird","positive_count",TRUE,TRUE,"completed"
"M02","SoG","Surf Scoter","detection",TRUE,FALSE,"completed"
"M02","SoG","Surf Scoter","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Surf Scoter","detection",TRUE,FALSE,"completed"
"M02","WCVI","Surf Scoter","positive_count",TRUE,FALSE,"completed"
"M02","CC","Surf Scoter","detection",TRUE,FALSE,"completed"
"M02","CC","Surf Scoter","positive_count",TRUE,FALSE,"completed"
"M02","NA","Surf Scoter","detection",TRUE,FALSE,"completed"
"M02","NA","Surf Scoter","positive_count",TRUE,FALSE,"completed"
"M02","SoG","White-winged Scoter","detection",TRUE,FALSE,"completed"
"M02","SoG","White-winged Scoter","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","White-winged Scoter","detection",TRUE,FALSE,"completed"
"M02","WCVI","White-winged Scoter","positive_count",TRUE,FALSE,"completed"
"M02","CC","White-winged Scoter","detection",TRUE,FALSE,"completed"
"M02","CC","White-winged Scoter","positive_count",TRUE,FALSE,"completed"
"M02","NA","White-winged Scoter","detection",TRUE,FALSE,"completed"
"M02","NA","White-winged Scoter","positive_count",TRUE,FALSE,"completed"
"M02","SoG","Common Merganser","detection",TRUE,FALSE,"completed"
"M02","SoG","Common Merganser","positive_count",TRUE,FALSE,"completed"
"M02","WCVI","Common Merganser","detection",TRUE,FALSE,"completed"
"M02","WCVI","Common Merganser","positive_count",TRUE,FALSE,"completed"
"M02","CC","Common Merganser","detection",TRUE,FALSE,"completed"
"M02","CC","Common Merganser","positive_count",TRUE,FALSE,"completed"
"M02","NA","Common Merganser","detection",TRUE,FALSE,"completed"
"M02","NA","Common Merganser","positive_count",TRUE,FALSE,"completed"
