"model_id","region","unit_class","outcome","fold","validation_view","prediction_support_rule","n_validation","n_validation_supported","n_validation_unsupported_factor_levels","privacy_suppressed","metric_1_name","metric_1","metric_2_name","metric_2","conditional_observer_or_location_BLUP_used","unit_label"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.34767660242757,"brier",0.10257006406368,FALSE,"alcid_piscivore"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1608,1608,0,FALSE,"log_loss",0.417016761258745,"brier",0.125214425768783,FALSE,"alcid_piscivore"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1962,1962,0,FALSE,"log_loss",0.329866547676068,"brier",0.0951008963765951,FALSE,"alcid_piscivore"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1876,1876,0,FALSE,"log_loss",0.305350997292438,"brier",0.0869237337365081,FALSE,"alcid_piscivore"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.112197051405085,"brier",0.0259522712459583,FALSE,"falsification"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1608,1608,0,FALSE,"log_loss",0.176829606996471,"brier",0.0408626698495892,FALSE,"falsification"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1962,1962,0,FALSE,"log_loss",0.0839872168599035,"brier",0.0191438811151827,FALSE,"falsification"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1876,1876,0,FALSE,"log_loss",0.0758789471663729,"brier",0.0163579146030566,FALSE,"falsification"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.658087159057927,"brier",0.232949822293219,FALSE,"gull_roe"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1606,1606,0,FALSE,"log_loss",0.684599123384351,"brier",0.245208585370667,FALSE,"gull_roe"
"M01","WCVI","guild","detection",3,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1961,1961,0,FALSE,"log_loss",0.675421232188415,"brier",0.240211752531716,FALSE,"gull_roe"
"M01","WCVI","guild","detection",4,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1870,1870,0,FALSE,"log_loss",0.687916676480686,"brier",0.245883574055118,FALSE,"gull_roe"
"M01","WCVI","guild","detection",1,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",3138,3138,0,FALSE,"log_loss",0.551829515461569,"brier",0.185646105397909,FALSE,"intertidal_roe_shorebird"
"M01","WCVI","guild","detection",2,"observer_disjoint_composition_robustness_only","training_overlap_for_fixed_factor_levels",1608,1608,0,FALSE,"log_loss",0.645700900153205,"brier",0.226774489787225,FALSE,"intertidal_roe_shorebird"
