species,n_positive,frac_eq_1,frac_eq_2,frac_le_2,median,q95,max
Surf Scoter,16632,0.074,0.081,0.154,12,500,45000
White-winged Scoter,4706,0.165,0.143,0.308,6,200,10000
Harlequin Duck,12030,0.063,0.182,0.245,5,30,493
Common Merganser,27776,0.242,0.239,0.481,3,21,976
Hooded Merganser,20340,0.283,0.302,0.585,2,9,173
Glaucous-winged Gull,85053,0.154,0.154,0.308,5,62,30000
Short-billed Gull,22003,0.165,0.117,0.282,7,180,10000
Bald Eagle,83359,0.479,0.253,0.732,2,7,268
Mallard,81526,0.065,0.137,0.202,10,120,6198
American Crow,112180,0.151,0.183,0.334,4,36,25000
Common Raven,60940,0.491,0.295,0.786,2,6,200
American Herring Gull,1851,0.501,0.197,0.697,1,14,200
Iceland Gull,4317,0.28,0.137,0.416,4,210,3500
Long-tailed Duck,2946,0.212,0.161,0.373,4,200,7100
