sensitivity,species,outcome,contrast,primary_ratio,primary_ci,primary_q,sens_ratio,sens_ci,sens_p,direction_agree
S4_single_event,Surf Scoter,detection,did_spawn_start,1.02079036496515,0.92-1.13,0.853591460353591,1.13962465717686,0.56-2.31,0.717706292162462,TRUE
S4_single_event,Surf Scoter,detection,did_early_egg,0.980518124003898,0.90-1.06,0.712136881402337,2.08734094029224,1.27-3.44,0.0038279144497978,FALSE
S4_single_event,Surf Scoter,detection,did_late_egg,1.02906632122853,0.95-1.11,0.648750440260527,1.31620509628657,0.82-2.11,0.255144986772691,TRUE
S4_single_event,Surf Scoter,detection,did_active_0_14_day,0.991099389696269,0.92-1.07,0.866877030252743,1.77625362334866,1.12-2.81,0.0142944564158984,FALSE
S4_single_event,Surf Scoter,positive_numeric_count_given_detection,did_spawn_start,1.04857295549569,0.96-1.15,0.528981412115974,1.88212766863745,1.09-3.24,0.0228744277722269,TRUE
S4_single_event,Surf Scoter,positive_numeric_count_given_detection,did_early_egg,1.32886414947466,1.22-1.44,5.26878661100952e-11,2.30440911360009,1.59-3.34,1.03651976196166e-05,TRUE
S4_single_event,Surf Scoter,positive_numeric_count_given_detection,did_late_egg,1.13410339698618,1.05-1.23,0.00800683716097108,0.973400909147524,0.67-1.42,0.887758238175013,FALSE
S4_single_event,Surf Scoter,positive_numeric_count_given_detection,did_active_0_14_day,1.24751392781415,1.16-1.34,5.37352561540053e-09,2.18331693199198,1.55-3.08,8.91079361701135e-06,TRUE
S4_single_event,White-winged Scoter,detection,did_spawn_start,0.906751332814887,0.79-1.04,0.328129528575858,1.41822838782258,0.41-4.93,0.582314089679985,FALSE
S4_single_event,White-winged Scoter,detection,did_early_egg,0.913032377137049,0.81-1.02,0.243781699173865,1.59765563638618,0.61-4.16,0.337544144238045,FALSE
S4_single_event,White-winged Scoter,detection,did_late_egg,0.923331137106988,0.83-1.03,0.355408840404533,0.909071853981846,0.32-2.58,0.858090826251214,TRUE
S4_single_event,White-winged Scoter,detection,did_active_0_14_day,0.911353190199962,0.82-1.01,0.177119735677083,1.54769949929883,0.65-3.71,0.326956421183338,FALSE
S4_single_event,White-winged Scoter,positive_numeric_count_given_detection,did_spawn_start,1.10765300524285,0.97-1.26,0.287971048679915,0.866326442162903,0.26-2.88,0.814740631503669,FALSE
S4_single_event,White-winged Scoter,positive_numeric_count_given_detection,did_early_egg,1.38860600792615,1.23-1.57,5.29767812510914e-07,2.22735573633923,0.94-5.30,0.0704262353288192,TRUE
S4_single_event,White-winged Scoter,positive_numeric_count_given_detection,did_late_egg,1.02682662048425,0.91-1.16,0.799883475421052,0.661913623149479,0.25-1.74,0.401837610672281,FALSE
S4_single_event,White-winged Scoter,positive_numeric_count_given_detection,did_active_0_14_day,1.30737133136676,1.17-1.46,3.52441934947228e-06,1.73151974210699,0.78-3.84,0.177189507592618,TRUE
S4_single_event,Harlequin Duck,detection,did_spawn_start,1.08769487117798,0.96-1.23,0.330134868692432,0.650014955657508,0.26-1.65,0.363281217179896,FALSE
S4_single_event,Harlequin Duck,detection,did_early_egg,1.09288920104567,0.98-1.21,0.20899506736891,0.939367758247181,0.49-1.81,0.852258950998072,FALSE
