species,outcome,ratio_recomputed_from_frozen_release,ratio_editorial_release,abs_ratio_diff,ratio_conf_low,ratio_conf_high,q_value,status
American Crow,detection,1.0245473412491726,1.02454731468472,2.6564452637600766e-08,0.97589935914681,1.07562033952495,0.508704604764138,completed
American Herring Gull,detection,1.3906276042474366,1.39062760424744,3.3306690738754696e-15,1.2334536886374,1.56782954358934,8.51492901048739e-07,completed
American Wigeon,detection,1.1056015845631644,1.10560158456316,4.440892098500626e-15,1.04193091289289,1.17316306548076,0.0043633969850084,completed
Bald Eagle,detection,1.0410615353095534,1.04106153537422,6.466671642613164e-11,0.993279940179803,1.09114165764744,0.203374973279404,completed
Barrow's Goldeneye,detection,1.0525763237615176,1.05257632376216,6.423750420481156e-13,0.967813996907743,1.14476223828604,0.395917766159165,completed
Black Oystercatcher,detection,0.9612841200879167,0.961284120796209,7.082922026668825e-10,0.885022857993937,1.04411671692808,0.523693341358451,completed
Black Scoter,detection,1.1344784669204786,1.13447846692048,1.3322676295501878e-15,0.996574920997567,1.29146476074063,0.142436358995875,completed
Black Turnstone,detection,0.955849213271549,0.955849213271549,0.0,0.836919291654811,1.09167960115403,0.670604342596355,completed
Black-bellied Plover,detection,0.9427280694291544,0.942728125769902,5.634074751181828e-08,0.83035745433837,1.07030570325376,0.527169282059606,completed
Bonaparte's Gull,detection,1.4809043103236554,1.48090431091735,5.936946489981665e-10,1.2240871016959,1.79160255430778,0.0003210957076981,completed
Brandt's Cormorant,detection,0.9908399347119872,0.990839934711987,2.220446049250313e-16,0.849671016237956,1.15546341755537,0.946004757190418,completed
Brant,detection,1.1627794433974814,1.16277944339748,1.3322676295501878e-15,1.04308136768647,1.29621338840189,0.0260373264608843,completed
Bufflehead,detection,0.942593025375456,0.942593025375456,0.0,0.891117631589605,0.997041894347385,0.110339875065313,completed
California Gull,detection,1.315385531212894,1.31538553121289,3.9968028886505635e-15,1.21185248703858,1.42776378662426,1.3454792427664602e-09,completed
Canada Goose,detection,0.9914091594420688,0.991409159442069,2.220446049250313e-16,0.940129848140965,1.04548549689091,0.857342627397333,completed
Common Goldeneye,detection,0.9958898536815308,0.995889853681531,2.220446049250313e-16,0.933912060299994,1.06198071834219,0.946004757190418,completed
Common Loon,detection,0.9413997418641044,0.941399741864104,3.3306690738754696e-16,0.874510708665812,1.01340494198622,0.226027324179586,completed
Common Merganser,detection,1.1633185875190015,1.163318587519,1.5543122344752192e-15,1.09700879793443,1.23363653839,4.1982001811496e-06,completed
Common Murre,detection,0.8726877766253032,0.872687776625303,2.220446049250313e-16,0.724399972117168,1.05133073548494,0.291480704191967,completed
Common Raven,detection,0.9425783430054948,0.942578343007165,1.6702195182460855e-12,0.898810874354696,0.988477062367544,0.0506747575618012,completed
Double-crested Cormorant,detection,1.0296121676242784,1.02961216762428,1.5543122344752192e-15,0.961353960920457,1.10271685436752,0.570889015616783,completed
Dunlin,detection,0.9620446439830344,0.962044643926255,5.6779358992287143e-11,0.8617932596426,1.07395815243557,0.670604342596355,completed
Glaucous Gull,detection,,,,,,,failed_numerical_fit_no_fallback
Glaucous-winged Gull,detection,1.1373550017861818,1.13735500178618,1.7763568394002505e-15,1.07558429318161,1.20267319659496,5.00819359055838e-05,completed
Great Blue Heron,detection,1.0104401000230987,1.0104401000231,1.3322676295501878e-15,0.955367979751458,1.06868684881013,0.838765938037213,completed
Greater Scaup,detection,1.1304769960440997,1.1304769960441,2.220446049250313e-16,1.03133872928609,1.23914500861373,0.0325696616516724,completed
Harlequin Duck,detection,1.1502767167126402,1.15027671671264,2.220446049250313e-16,1.04842588129133,1.26202199756985,0.0134381384326743,completed
Hooded Merganser,detection,1.0206492462371344,1.02064924623713,4.440892098500626e-15,0.947663488777562,1.09925611377959,0.744314368058393,completed
Horned Grebe,detection,0.9338031198493748,0.933803119849375,2.220446049250313e-16,0.866785528818515,1.00600233581311,0.163363315902389,completed
Iceland Gull,detection,1.2909062746972602,1.29090627469726,2.220446049250313e-16,1.17925888805369,1.41312397721516,5.04947711878446e-07,completed
Lesser Scaup,detection,1.2621748894121,1.26217488947,5.7899907091041314e-11,1.10879766356326,1.43676840595878,0.0022816177553474,completed
Long-tailed Duck,detection,1.1393736278850366,1.13937362788504,3.3306690738754696e-15,1.01235348603242,1.28233100575142,0.0914966824909325,completed
Mallard,detection,1.0143029012608298,1.01430290126083,2.220446049250313e-16,0.960420164752143,1.07120863686951,0.744798270375646,completed
Marbled Murrelet,detection,0.9352172690420572,0.935217269042057,1.1102230246251565e-16,0.763741223535125,1.14519331072124,0.670604342596355,completed
Northern Pintail,detection,1.20532868051395,1.20532868051395,0.0,1.10091867717084,1.31964082197513,0.0003210957076981,completed
Pacific Loon,detection,0.936764621079169,0.936764621079169,0.0,0.846413412955736,1.03676045520263,0.367695042933349,completed
Pelagic Cormorant,detection,1.0480689791487947,1.04806897914879,4.6629367034256575e-15,0.963890501262992,1.13959893122164,0.434802345247555,completed
Pigeon Guillemot,detection,0.9896326500295012,0.989632650029501,2.220446049250313e-16,0.87831705708661,1.1150560883481,0.942639171251674,completed
Red-breasted Merganser,detection,0.991466015326304,0.991466015326304,0.0,0.919341788819264,1.06924853357261,0.919805905749992,completed
Red-necked Grebe,detection,1.064104832752346,1.06410483275235,3.9968028886505635e-15,0.972281824090747,1.16459967370655,0.327116954752718,completed
Red-throated Loon,detection,0.9987106720899211,0.998710672089921,1.1102230246251565e-16,0.760416450245369,1.31167994356836,0.992598813068013,completed
Rhinoceros Auklet,detection,0.7510364356110073,0.751036435611007,3.3306690738754696e-16,0.570109146869075,0.989381999417073,0.111368634367205,completed
Ring-billed Gull,detection,0.9678394784100064,0.967839478410006,4.440892098500626e-16,0.850316929285178,1.10160485309449,0.744798270375646,completed
Short-billed Gull,detection,1.2507602986510191,1.25076029865524,4.22084589501992e-12,1.17110062293813,1.33583852151601,1.2786396618042902e-09,completed
Surf Scoter,detection,1.0033929756794515,1.00339297567945,1.5543122344752192e-15,0.932533322149138,1.07963698425551,0.947512022271045,completed
Surfbird,detection,1.372734307635105,1.37273430763511,4.884981308350689e-15,0.973791460468404,1.93511604471456,0.163363315902389,completed
Western Grebe,detection,0.7679082305032439,0.767908230469407,3.383682223301321e-11,0.609622203146494,0.967292607419933,0.0798096623456756,completed
Western Gull,detection,1.1655186217443445,1.16551862174434,4.440892098500626e-15,0.903127257029248,1.50414423555466,0.395917766159165,completed
White-winged Scoter,detection,1.0817144711083668,1.08171447110837,3.1086244689504383e-15,0.977155409176007,1.19746172002666,0.259845384694383,completed
American Crow,positive_numeric_count_given_detection,1.0080547129002186,1.00805471290565,5.431433081071191e-12,0.983834878685135,1.03287078576578,0.680704773653228,completed
American Herring Gull,positive_numeric_count_given_detection,1.0335127911398998,1.0335127911399,2.220446049250313e-16,0.956446432934555,1.11678882650282,0.563773770022676,completed
