species,outcome,active_estimate,pre_estimate,active_status,pre_status,log_diff,ratio,active_q
American Crow,detection,0.0087961500050691,-0.015454746749735,completed,completed,0.024250896754804102,1.0245473412491726,0.8099958947366
American Crow,positive_numeric_count_given_detection,0.0038277025150783,-0.0041947443319166,completed,completed,0.0080224468469949,1.0080547129002186,0.814587799156161
American Herring Gull,detection,0.395759349702453,0.0660041906144808,completed,completed,0.3297551590879722,1.3906276042474366,7.32068735907864e-07
American Herring Gull,positive_numeric_count_given_detection,-0.0429555415982351,-0.0759190181876022,completed,completed,0.0329634765893671,1.0335127911398998,0.502822463619708
American Wigeon,detection,0.129190757670872,0.0288011504250333,completed,completed,0.10038960724583869,1.1056015845631644,0.0001379824903493
American Wigeon,positive_numeric_count_given_detection,0.104459483474141,0.0495473906139616,completed,completed,0.054912092860179396,1.0564477412941302,3.50771130604944e-05
Bald Eagle,detection,0.0797538753416578,0.0395129757271778,completed,completed,0.04024089961448,1.0410615353095534,0.0033259927831537
Bald Eagle,positive_numeric_count_given_detection,0.064455134443212,0.0037548483727544,completed,completed,0.060700286070457604,1.0625803963114242,1.57287672934532e-13
Barrow's Goldeneye,detection,0.0333598951780162,-0.0178809054052004,completed,completed,0.0512408005832166,1.0525763237615176,0.581023095017145
Barrow's Goldeneye,positive_numeric_count_given_detection,0.0999635947886402,0.0050581603210436,completed,completed,0.0949054344675966,1.0995548702177775,0.0213200650557642
Black Oystercatcher,detection,-0.0538716497745022,-0.0143863865223627,completed,completed,-0.039485263252139496,0.9612841200879169,0.311531461945134
Black Oystercatcher,positive_numeric_count_given_detection,0.0223853755441666,0.0296945067521125,completed,completed,-0.0073091312079459,0.9927175155305349,0.431374325063206
Black Scoter,detection,0.014581384562055,-0.111591660258009,completed,completed,0.126173044820064,1.1344784669204786,0.866877030252743
Black Scoter,positive_numeric_count_given_detection,0.111951276228528,0.0999933295678358,completed,completed,0.011957946660692206,1.012029728741614,0.173411460872625
Black Turnstone,detection,0.0379592876421516,0.0831143927164525,completed,completed,-0.04515510507430091,0.955849213271549,0.708870220305346
Black Turnstone,positive_numeric_count_given_detection,0.136510600172294,0.024308524399181,completed,completed,0.112202075773113,1.118738907834658,0.0800435514792158
Black-bellied Plover,detection,-0.175902239298249,-0.116924833844207,completed,completed,-0.058977405454041995,0.9427280694291544,0.0232353783587373
Black-bellied Plover,positive_numeric_count_given_detection,0.0357280839653324,0.0733995832504502,completed,completed,-0.03767149928511781,0.9630292447306829,0.628986527316472
Bonaparte's Gull,detection,0.331315440684304,-0.0613374809836629,completed,completed,0.39265292166796695,1.4809043103236554,0.0501128777709251
Bonaparte's Gull,positive_numeric_count_given_detection,0.393238883027725,0.242563053692959,completed,completed,0.15067582933476598,1.1626197097825963,0.093986773579314
Brandt's Cormorant,detection,0.0061681837776879,0.0153704604340692,completed,completed,-0.009202276656381299,0.9908399347119873,0.956992728831415
Brandt's Cormorant,positive_numeric_count_given_detection,0.0659159978595109,0.0402276805631021,completed,completed,0.025688317296408796,1.0260211055991508,0.442068823511032
Brant,detection,0.094836915586161,-0.0559762954234179,completed,completed,0.1508132110095789,1.1627794433974814,0.20418305959783
Brant,positive_numeric_count_given_detection,0.0492486024295331,-0.0177798335157201,completed,completed,0.0670284359452532,1.069325885034599,0.491428593059436
Bufflehead,detection,-0.0485298543705224,0.0105908094964252,completed,completed,-0.0591206638669476,0.9425930253754559,0.189692569217377
Bufflehead,positive_numeric_count_given_detection,0.0944797594162449,-0.0192625495449131,completed,completed,0.113742308961158,1.1204633543131994,6.40727654802475e-11
California Gull,detection,0.197388213471895,-0.0767415888186608,completed,completed,0.27412980229055584,1.3153855312128941,0.0001379824903493
California Gull,positive_numeric_count_given_detection,0.201785532776938,0.0641582671876357,completed,completed,0.1376272655893023,1.1475477400187066,5.01873476253868e-05
Canada Goose,detection,0.0776249081352173,0.0862528626769797,completed,completed,-0.008627954541762392,0.9914091594420689,0.0205508830616646
Canada Goose,positive_numeric_count_given_detection,0.008467317683874,-0.0337662157266697,completed,completed,0.0422335334105437,1.0431380578960503,0.730728846657232
Common Goldeneye,detection,0.0475921988152245,0.0517108150013033,completed,completed,-0.004118616186078797,0.9958898536815308,0.241443484159268
Common Goldeneye,positive_numeric_count_given_detection,0.202438867730461,0.0234847288409058,completed,completed,0.1789541388895552,1.195965894586182,1.71179562430148e-21
